Rectangle,xmin,ymin,xmax,ymax
Rectangle,4034,1492,4038,1491
Rectangle,4034,1492,4038,1492
Rectangle,4034,1492,4038,1492
Rectangle,4035,1493,4038,1493
Rectangle,4035,1493,4038,1493
Rectangle,4035,1493,4037,1493
Rectangle,4035,1493,4037,1493
Rectangle,4035,1493,4036,1493
Rectangle,4035,1493,4036,1493
Rectangle,3884,3038,3888,3032
Rectangle,3884,3038,3888,3032
Rectangle,3884,3025,3888,3019
Rectangle,3884,3025,3888,3019
Rectangle,3894,3031,3903,3026
Rectangle,3894,3031,3903,3026
Rectangle,4379,3039,4383,3014
Rectangle,4379,3039,4383,3014
Rectangle,3780,1943,3803,1941
Rectangle,3780,1943,3803,1941
Rectangle,3923,2201,3946,2200
Rectangle,3923,2201,3946,2200
Rectangle,4128,1101,4136,1094
Rectangle,4128,1101,4136,1094
Rectangle,1312,1690,1317,1678
Rectangle,1312,1690,1317,1678
Rectangle,1311,1691,1333,1677
Rectangle,1311,1691,1333,1677
Rectangle,1319,1690,1324,1678
Rectangle,1319,1690,1324,1678
Rectangle,1326,1690,1331,1678
Rectangle,1326,1690,1331,1678
Rectangle,1313,527,1315,503
Rectangle,1313,527,1315,503
Rectangle,1315,506,1320,503
Rectangle,1315,506,1320,503
Rectangle,1320,504,1326,503
Rectangle,1320,504,1326,503
Rectangle,1322,506,1326,504
Rectangle,1322,506,1326,504
Rectangle,1326,506,1328,503
Rectangle,1326,506,1328,503
Rectangle,1315,527,1328,526
Rectangle,1315,527,1328,526
Rectangle,1328,527,1330,503
Rectangle,1328,527,1330,503
Rectangle,1313,527,1330,503
Rectangle,1313,527,1330,503
Rectangle,1500,1690,1506,1678
Rectangle,1500,1690,1506,1678
Rectangle,1499,1691,1521,1677
Rectangle,1499,1691,1521,1677
Rectangle,1508,1690,1512,1678
Rectangle,1508,1690,1512,1678
Rectangle,1515,1690,1520,1678
Rectangle,1515,1690,1520,1678
Rectangle,1501,527,1504,503
Rectangle,1501,527,1504,503
Rectangle,1504,506,1509,503
Rectangle,1504,506,1509,503
Rectangle,1509,504,1515,503
Rectangle,1509,504,1515,503
Rectangle,1510,506,1515,504
Rectangle,1510,506,1515,504
Rectangle,1504,527,1518,526
Rectangle,1504,527,1518,526
Rectangle,1518,527,1519,503
Rectangle,1518,527,1519,503
Rectangle,1501,527,1519,503
Rectangle,1501,527,1519,503
