Arc,xmin,ymin,xmax,ymax
Arc,xmin,ymin,xmax,ymax
Circle,1882,1870,1894,1857
Circle,1882,1870,1894,1857
Arc,xmin,ymin,xmax,ymax
Circle,1882,1813,1894,1801
Circle,1882,1813,1894,1801
Arc,1901,1862,1919,1808
Arc,1901,1862,1919,1808
Arc,2823,3021,2842,2996
Arc,2823,3021,2842,2996
Arc,1892,2082,1903,2065
Arc,1892,2082,1903,2065
Arc,1939,2082,1946,2077
Arc,1939,2082,1946,2077
Arc,xmin,ymin,xmax,ymax
Circle,1778,2712,1795,2695
Circle,1778,2712,1795,2695
Arc,1619,2794,1636,2739
Arc,1619,2794,1636,2739
Arc,xmin,ymin,xmax,ymax
Circle,1644,2709,1653,2699
Circle,1644,2709,1653,2699
Arc,xmin,ymin,xmax,ymax
Circle,1698,2712,1715,2695
Circle,1698,2712,1715,2695
Arc,xmin,ymin,xmax,ymax
Circle,1737,2712,1755,2695
Circle,1737,2712,1755,2695
Arc,xmin,ymin,xmax,ymax
Circle,1665,2709,1675,2699
Circle,1665,2709,1675,2699
Arc,xmin,ymin,xmax,ymax
Circle,1745,2076,1766,2055
Circle,1745,2076,1766,2055
Arc,xmin,ymin,xmax,ymax
Circle,1633,2070,1642,2060
Circle,1633,2070,1642,2060
Arc,xmin,ymin,xmax,ymax
Circle,1654,2070,1664,2060
Circle,1654,2070,1664,2060
Arc,xmin,ymin,xmax,ymax
Circle,1633,2018,1642,2008
Circle,1633,2018,1642,2008
Arc,xmin,ymin,xmax,ymax
Circle,1654,2018,1664,2008
Circle,1654,2018,1664,2008
Arc,xmin,ymin,xmax,ymax
Circle,1680,1979,1701,1958
Circle,1680,1979,1701,1958
Arc,xmin,ymin,xmax,ymax
Circle,1717,1979,1737,1958
Circle,1717,1979,1737,1958
Arc,xmin,ymin,xmax,ymax
Circle,1751,1979,1772,1958
Circle,1751,1979,1772,1958
Arc,xmin,ymin,xmax,ymax
Circle,1598,2801,1611,2789
Circle,1598,2801,1611,2789
Arc,xmin,ymin,xmax,ymax
Circle,1598,2745,1611,2733
Circle,1598,2745,1611,2733
Arc,xmin,ymin,xmax,ymax
Circle,1599,2187,1611,2175
Circle,1599,2187,1611,2175
Arc,xmin,ymin,xmax,ymax
Circle,1599,2131,1611,2119
Circle,1599,2131,1611,2119
Arc,xmin,ymin,xmax,ymax
Circle,576,2018,594,2000
Circle,576,2018,594,2000
Arc,xmin,ymin,xmax,ymax
Circle,536,2018,553,2000
Circle,536,2018,553,2000
Arc,xmin,ymin,xmax,ymax
Circle,497,2018,514,2000
Circle,497,2018,514,2000
Arc,xmin,ymin,xmax,ymax
Circle,748,1870,761,1857
