Polyline,X,Y
1,943,963
2,943,935
1,947,931
2,946,930
3,945,929
4,943,928
5,941,929
6,940,931
7,940,932
8,941,934
9,943,935
10,945,934
11,946,933
12,947,931
1,947,903
2,946,901
3,945,900
4,943,900
5,941,901
6,940,902
7,940,904
8,941,905
9,943,906
10,945,906
11,946,905
12,947,903
1,951,931
2,954,929
3,957,926
4,958,922
5,959,917
6,959,913
7,957,909
8,955,906
9,951,903
1,943,814
2,943,578
1,969,953
2,969,953
3,968,953
4,968,952
5,968,952
6,968,950
7,968,950
8,968,949
9,969,949
10,969,949
11,970,949
12,971,950
13,974,953
14,974,949
1,968,945
2,968,946
3,969,946
4,970,946
5,971,946
6,973,946
7,974,946
8,974,945
9,974,944
10,974,943
11,973,943
12,971,942
13,970,942
14,969,943
15,968,943
16,968,944
17,968,945
1,974,941
2,968,938
3,974,935
1,972,940
2,972,937
1,968,926
2,974,926
1,968,928
2,968,923
1,974,922
2,968,922
3,968,919
4,968,918
5,968,917
6,969,917
7,970,917
8,970,917
9,971,918
10,971,919
11,971,922
1,974,908
2,968,908
3,974,905
4,968,903
5,974,903
1,969,895
2,968,896
3,968,896
4,968,897
5,968,898
6,968,899
7,968,899
8,969,900
9,970,900
10,971,900
11,973,900
12,973,899
13,974,899
14,974,898
15,974,897
16,974,896
17,973,896
18,973,895
1,969,888
2,968,889
3,968,889
4,968,890
5,968,891
6,968,892
7,968,893
8,969,893
9,970,893
10,971,893
11,973,893
12,973,893
13,974,892
14,974,891
15,974,890
16,974,889
17,973,889
18,973,888
1,971,883
2,971,882
3,971,882
4,972,881
5,973,881
6,973,882
7,974,882
8,974,883
9,974,886
10,968,886
11,968,883
12,968,882
13,968,882
14,969,881
15,969,881
16,970,882
17,970,882
18,971,883
19,971,886
1,981,928
2,980,928
3,979,928
4,979,928
5,979,927
6,979,926
7,979,925
8,980,924
9,981,924
10,981,925
11,983,925
12,986,929
13,986,924
1,979,918
2,979,921
3,982,922
4,981,921
5,981,920
6,981,919
7,981,918
8,982,918
9,983,917
10,984,917
11,985,918
12,985,918
13,986,919
14,986,920
15,985,921
16,985,922
17,985,922
1,979,908
2,986,908
1,981,905
2,985,908
1,983,907
2,986,905
1,986,903
2,979,901
3,986,898
1,984,903
2,984,899
1,916,522
2,916,522
3,915,521
4,915,521
5,914,521
6,913,521
7,913,522
8,913,522
9,912,523
10,912,525
11,913,526
12,913,526
13,913,527
14,914,528
15,915,528
16,915,527
17,916,526
18,916,526
1,918,528
2,918,521
3,921,521
4,921,521
5,921,521
6,922,522
7,922,523
8,921,524
9,921,524
10,918,524
1,929,528
2,929,521
3,932,521
1,929,524
2,931,524
1,935,521
2,935,521
3,934,522
4,934,522
5,934,523
6,934,525
7,934,526
8,934,526
9,935,527
10,935,528
11,936,528
12,937,527
13,937,526
14,938,526
15,938,525
16,938,523
17,938,522
18,937,522
19,937,521
20,936,521
21,935,521
1,940,528
2,940,521
3,942,521
4,943,521
5,943,521
6,943,522
7,943,523
8,943,523
9,943,524
10,942,524
11,940,524
1,941,524
2,943,528
1,950,521
2,952,528
3,953,521
4,954,528
5,956,521
1,956,528
2,958,521
3,960,528
1,957,525
2,960,525
1,963,521
2,963,528
1,961,521
2,965,521
1,966,528
2,966,521
3,970,521
1,966,524
2,968,524
1,966,528
2,970,528
1,971,528
2,971,521
3,973,521
4,974,521
5,975,521
6,975,522
7,975,523
8,975,523
9,974,524
10,973,524
11,971,524
1,973,524
2,975,528
1,911,532
2,911,539
1,909,532
2,913,532
1,914,539
2,914,532
3,917,532
4,917,532
5,918,533
6,918,534
7,918,534
8,918,535
9,917,535
10,917,536
11,914,536
1,916,536
2,918,539
1,919,539
2,921,532
3,923,539
1,920,537
2,923,537
1,925,539
2,925,532
3,928,539
4,928,532
1,934,533
2,933,532
3,932,532
4,931,532
5,930,532
6,930,533
7,930,534
8,930,534
9,930,535
10,931,535
11,933,536
12,933,536
13,934,536
14,934,537
15,934,538
16,933,539
17,932,539
18,931,539
19,930,539
20,930,538
1,936,539
2,936,532
3,939,532
1,936,536
2,938,536
1,940,539
2,940,532
3,944,532
1,940,536
2,942,536
1,940,539
2,944,539
1,945,539
2,945,532
3,948,532
4,949,532
5,949,533
6,949,534
7,949,534
8,949,535
9,949,535
10,948,536
11,945,536
1,947,536
2,949,539
1,956,539
2,956,532
3,959,532
4,960,532
5,960,533
6,960,534
7,960,534
8,960,535
9,960,536
10,959,536
11,956,536
1,962,532
2,962,537
3,962,538
4,963,539
5,964,539
6,964,539
7,965,539
8,966,538
9,966,537
10,966,532
1,968,539
2,968,532
3,970,539
4,972,532
5,972,539
1,974,539
2,974,532
3,977,532
4,977,532
5,977,533
6,978,534
7,978,534
8,977,535
9,977,536
10,977,536
11,974,536
1,930,544
2,933,544
3,931,546
4,932,546
5,933,547
6,933,547
7,933,548
8,933,549
9,933,550
10,932,550
11,932,551
12,931,551
13,930,550
14,930,550
15,930,549
1,935,550
2,935,550
3,935,551
4,936,550
5,935,550
1,941,545
2,941,544
3,940,544
4,939,544
5,938,544
6,938,545
7,938,547
8,938,548
9,938,550
10,938,550
11,939,551
12,940,551
13,940,550
14,941,550
15,941,549
16,941,548
17,941,547
18,940,547
19,940,546
20,939,546
21,938,547
22,938,547
23,938,548
1,943,544
2,946,544
3,945,546
4,945,546
5,946,547
6,946,547
7,947,548
8,947,549
9,946,550
10,945,550
11,945,551
12,944,551
13,943,550
14,943,550
15,943,549
1,948,544
2,948,551
1,951,546
2,948,549
1,949,548
2,951,551
1,952,544
2,953,551
3,955,544
4,956,551
5,958,544
1,942,573
2,941,574
3,941,574
4,940,575
5,939,575
6,940,575
7,940,575
8,941,575
9,941,574
10,942,574
11,943,574
12,942,573
1,943,573
2,942,573
3,942,573
4,943,574
5,943,574
6,942,575
7,942,575
8,941,575
9,940,575
10,938,576
11,940,576
12,940,576
13,941,575
14,942,575
15,943,575
16,943,574
17,943,573
1,939,570
2,938,571
3,938,571
4,937,571
5,937,573
6,937,573
7,937,573
8,938,574
9,939,575
10,940,575
11,939,575
12,938,574
13,938,573
14,938,573
15,938,572
16,938,571
17,939,571
18,940,570
19,939,570
1,940,570
2,939,570
3,940,570
4,940,570
5,941,571
6,941,571
7,942,571
