Polyline,X,Y
4,216,2344
1,344,2395
2,341,2392
3,391,2341
4,395,2344
1,267,2395
2,216,2344
3,219,2341
4,270,2392
1,445,2395
2,395,2344
3,398,2341
4,449,2392
1,167,2530
2,167,2396
3,339,2396
4,339,2530
1,215,2219
2,215,2143
3,224,2143
4,224,2219
1,162,2392
2,162,2085
3,334,2085
4,334,2392
1,167,2530
2,167,2396
3,339,2396
4,339,2530
1,215,2219
2,215,2143
3,224,2143
4,224,2219
1,162,2392
2,162,2085
3,334,2085
4,334,2392
1,172,2516
2,172,2511
3,296,2511
4,296,2516
1,219,2492
2,219,2415
3,248,2415
4,248,2492
1,162,2506
2,162,2392
3,305,2392
4,305,2506
1,167,2231
2,167,2222
3,195,2222
4,195,2231
1,172,2243
2,172,2238
3,296,2238
4,296,2243
1,162,2392
2,162,2219
3,305,2219
4,305,2392
1,160,2374
2,160,2371
1,164,2371
2,164,2374
1,143,2387
2,143,2382
3,146,2382
4,146,2387
1,163,2375
2,161,2375
1,177,2387
2,177,2382
3,181,2382
4,181,2387
1,161,2370
2,163,2370
1,108,2462
2,111,2478
3,123,2493
4,140,2503
5,161,2506
6,182,2503
7,199,2494
8,211,2479
9,216,2463
10,212,2447
11,200,2432
12,183,2422
13,162,2419
14,141,2422
15,124,2431
16,112,2446
1,103,2461
2,107,2479
3,119,2495
4,137,2506
5,160,2510
6,183,2507
7,202,2498
8,215,2482
9,220,2464
10,216,2446
11,204,2430
12,186,2419
13,163,2415
14,140,2418
15,121,2427
16,108,2443
1,126,2462
2,129,2473
3,136,2483
4,147,2489
5,161,2491
6,175,2489
7,186,2483
8,194,2474
9,197,2463
10,195,2452
11,187,2442
12,176,2436
13,162,2434
14,148,2436
15,137,2442
16,129,2451
1,88,2494
2,83,2490
3,83,2432
4,88,2427
5,154,2427
6,158,2432
7,158,2490
8,154,2494
1,76,2494
2,76,2408
3,83,2401
4,241,2401
5,248,2408
6,248,2494
7,241,2502
8,83,2502
1,170,2494
2,166,2490
3,166,2432
4,170,2427
5,236,2427
6,241,2432
7,241,2490
8,236,2494
1,108,2462
2,111,2478
3,123,2493
4,140,2503
5,161,2506
6,182,2503
7,199,2494
8,211,2479
9,216,2463
10,212,2447
11,200,2432
12,183,2422
13,162,2419
14,141,2422
15,124,2431
16,112,2446
1,103,2461
2,107,2479
3,119,2495
4,137,2506
5,160,2510
6,183,2507
7,202,2498
8,215,2482
9,220,2464
10,216,2446
11,204,2430
12,186,2419
13,163,2415
14,140,2418
15,121,2427
16,108,2443
1,126,2462
2,129,2473
3,136,2483
4,147,2489
5,161,2491
6,175,2489
7,186,2483
8,194,2474
9,197,2463
10,195,2452
11,187,2442
12,176,2436
13,162,2434
14,148,2436
15,137,2442
16,129,2451
1,88,2494
2,83,2490
3,83,2432
4,88,2427
5,154,2427
6,158,2432
7,158,2490
8,154,2494
1,76,2494
2,76,2408
3,83,2401
4,241,2401
5,248,2408
6,248,2494
7,241,2502
8,83,2502
1,170,2494
2,166,2490
3,166,2432
4,170,2427
5,236,2427
6,241,2432
7,241,2490
8,236,2494
1,212,2435
2,212,2396
3,112,2396
4,112,2435
1,121,2430
2,203,2430
1,203,2401
2,121,2401
1,117,2406
2,117,2425
1,167,2392
2,167,2387
3,272,2387
4,272,2392
1,162,2286
2,162,2277
3,200,2277
4,200,2286
1,212,2286
2,212,2277
3,112,2277
4,112,2286
1,191,2392
2,191,2387
3,133,2387
4,133,2392
1,212,2435
2,212,2396
3,112,2396
4,112,2435
1,121,2430
2,203,2430
1,203,2401
2,121,2401
1,117,2406
2,117,2425
1,167,2392
2,167,2387
3,272,2387
4,272,2392
1,162,2286
2,162,2277
3,200,2277
4,200,2286
1,212,2286
2,212,2277
3,112,2277
4,112,2286
1,191,2392
2,191,2387
3,133,2387
4,133,2392
1,171,2400
2,162,2417
3,153,2433
1,201,2402
2,185,2431
3,201,2460
4,234,2460
5,251,2431
6,234,2402
1,201,2283
2,185,2312
3,201,2341
4,234,2341
5,251,2312
6,234,2283
1,201,2416
2,185,2445
3,201,2474
4,234,2474
5,251,2445
6,234,2416
1,201,2416
2,185,2445
3,201,2474
4,234,2474
5,251,2445
6,234,2416
1,201,2408
2,185,2437
3,201,2466
4,234,2466
5,251,2437
6,234,2408
1,201,2408
2,185,2437
3,201,2466
4,234,2466
5,251,2437
6,234,2408
1,201,2408
2,185,2437
3,201,2466
4,234,2466
5,251,2437
6,234,2408
1,201,2402
2,185,2431
3,201,2460
4,234,2460
5,251,2431
6,234,2402
1,201,2280
2,185,2309
3,201,2338
4,234,2338
5,251,2309
6,234,2280
1,201,2299
2,185,2327
3,201,2356
4,234,2356
5,251,2327
6,234,2299
1,201,2408
2,185,2437
3,201,2466
4,234,2466
5,251,2437
6,234,2408
1,201,2408
2,185,2437
3,201,2466
4,234,2466
5,251,2437
6,234,2408
1,201,2291
2,185,2320
3,201,2349
4,234,2349
5,251,2320
6,234,2291
Line,xmin,ymin,xmax,ymax
LINE,1372,2984,2176,2984
LINE,1528,2211,1528,2374
LINE,1337,2211,1337,2374
LINE,1384,2211,1384,2374
LINE,1432,2211,1432,2374
LINE,1480,2211,1480,2374
LINE,1278,2556,1278,2211
LINE,1774,2984,1774,3080
LINE,1774,3080,1372,3080
LINE,1389,2926,1389,2582
LINE,1384,2926,1384,2582
LINE,1372,2582,1372,3080
LINE,1372,3032,1774,3032
LINE,1106,2211,1576,2211
LINE,1162,0,1162,286
LINE,1210,0,1210,286
LINE,1114,0,1114,286
LINE,827,286,827,0
LINE,670,829,965,829
LINE,670,829,670,1205
LINE,965,1169,965,829
LINE,827,0,1210,0
LINE,2164,2926,2164,2582
LINE,2159,2926,2159,2582
LINE,2176,2582,2176,2984
LINE,2118,2972,1803,2972
LINE,2118,2967,1803,2967
LINE,4192,2211,4661,2211
LINE,498,1205,670,1205
LINE,1080,1463,1080,1463
LINE,194,1977,194,2384
LINE,965,1169,965,1126
LINE,395,1090,395,1205
LINE,194,887,194,1293
LINE,194,1205,395,1205
LINE,395,1205,481,1205
LINE,395,1090,395,887
LINE,481,1205,481,887
LINE,498,1205,498,887
LINE,481,1205,498,1205
LINE,1576,2211,1576,2556
LINE,1362,2298,1307,2298
LINE,1307,2298,1323,2281
LINE,1307,2298,1323,2314
LINE,965,1169,1080,1169
LINE,3566,1319,3566,1444
LINE,3566,1444,3280,1444
LINE,839,286,839,57
LINE,844,286,844,57
LINE,885,11,1057,11
LINE,885,16,1057,16
LINE,1006,2556,366,2556
LINE,4833,1793,4709,1793
LINE,4709,1793,4709,1506
LINE,1278,2374,1576,2374
LINE,1278,2393,1576,2393
LINE,1528,2393,1528,2556
LINE,1480,2393,1480,2556
LINE,1432,2393,1432,2556
LINE,1384,2393,1384,2556
LINE,1337,2393,1337,2556
LINE,4613,2211,4613,2374
LINE,4613,2393,4613,2556
LINE,4422,2211,4422,2374
LINE,4422,2393,4422,2556
LINE,4470,2211,4470,2374
LINE,4470,2393,4470,2556
LINE,4518,2211,4518,2374
LINE,4518,2393,4518,2556
LINE,4566,2211,4566,2374
LINE,4566,2393,4566,2556
LINE,4364,2556,4364,2211
LINE,4364,2393,4661,2393
LINE,4364,2374,4661,2374
LINE,4661,2211,4661,2556
LINE,535,1205,535,887
LINE,148,2392,133,2392
LINE,162,2406,162,2420
LINE,176,2392,191,2392
LINE,162,2377,162,2363
LINE,166,2394,190,2394
LINE,318,2391,320,2389
LINE,318,2390,320,2388
LINE,321,2387,323,2385
LINE,322,2387,324,2385
LINE,262,2365,262,2392
LINE,162,2383,262,2383
LINE,162,2374,262,2374
LINE,162,2365,162,2392
LINE,166,2394,187,2394
LINE,166,2394,185,2394
LINE,142,2392,141,2392
LINE,142,2391,141,2391
LINE,144,2389,144,2388
LINE,145,2389,145,2388
LINE,145,2394,145,2395
LINE,144,2394,144,2395
LINE,147,2391,148,2391
LINE,147,2392,148,2392
LINE,160,2396,160,2413
LINE,164,2413,164,2396
LINE,182,2391,183,2391
LINE,182,2392,183,2392
LINE,180,2394,180,2395
LINE,179,2394,179,2395
LINE,179,2389,179,2388
LINE,180,2389,180,2388
LINE,177,2392,176,2392
LINE,177,2391,176,2391
LINE,221,2386,162,2386
LINE,221,2397,162,2397
LINE,162,2392,162,2442
LINE,224,2525,224,2535
LINE,229,2535,229,2530
LINE,219,2535,229,2535
LINE,219,2530,219,2535
LINE,167,2525,339,2525
LINE,219,2368,219,2085
LINE,162,2368,334,2368
LINE,224,2525,224,2535
LINE,229,2535,229,2530
LINE,219,2535,229,2535
LINE,219,2530,219,2535
LINE,167,2525,339,2525
LINE,219,2368,219,2085
LINE,162,2368,334,2368
LINE,219,2420,248,2420
LINE,162,2406,305,2406
LINE,267,2511,267,2506
LINE,277,2506,277,2511
LINE,248,2487,219,2487
LINE,200,2511,200,2506
LINE,191,2506,191,2511
LINE,243,2487,243,2420
LINE,238,2420,238,2487
LINE,234,2487,234,2420
LINE,229,2420,229,2487
LINE,224,2487,224,2420
LINE,162,2234,305,2234
LINE,305,2344,162,2344
LINE,162,2368,305,2368
LINE,155,2392,169,2392
LINE,140,2390,149,2390
LINE,147,2388,142,2388
LINE,143,2385,142,2385
LINE,143,2384,142,2384
LINE,146,2385,148,2385
LINE,146,2384,148,2384
LINE,157,2389,167,2389
LINE,160,2377,164,2377
LINE,164,2382,160,2382
LINE,138,2392,151,2392
LINE,161,2377,161,2375
LINE,163,2375,163,2377
LINE,164,2374,160,2374
LINE,175,2390,184,2390
LINE,182,2388,177,2388
LINE,177,2385,176,2385
LINE,177,2384,176,2384
LINE,181,2385,182,2385
LINE,181,2384,182,2384
LINE,173,2392,186,2392
LINE,160,2371,164,2371
LINE,157,2462,166,2462
LINE,162,2458,162,2467
LINE,162,2296,162,2392
LINE,143,2392,148,2315
LINE,176,2315,181,2392
LINE,143,2392,181,2392
LINE,105,2262,219,2262
LINE,109,2248,215,2248
LINE,109,2248,105,2262
LINE,180,2293,176,2315
LINE,148,2315,144,2293
LINE,215,2248,219,2262
LINE,76,2420,248,2420
LINE,157,2462,166,2462
LINE,162,2458,162,2467
LINE,162,2296,162,2392
LINE,143,2392,148,2315
LINE,176,2315,181,2392
LINE,143,2392,181,2392
LINE,105,2262,219,2262
LINE,109,2248,215,2248
LINE,109,2248,105,2262
LINE,180,2293,176,2315
LINE,148,2315,144,2293
LINE,215,2248,219,2262
LINE,76,2420,248,2420
LINE,181,2463,143,2463
LINE,143,2435,133,2463
LINE,128,2442,114,2442
LINE,114,2437,124,2437
LINE,114,2442,114,2437
LINE,124,2437,124,2435
LINE,128,2435,128,2442
LINE,181,2435,191,2463
LINE,207,2425,207,2406
LINE,164,2368,164,2286
LINE,198,2286,198,2334
LINE,198,2334,320,2334
LINE,320,2344,200,2344
LINE,317,2329,219,2329
LINE,267,2382,172,2382
LINE,191,2353,164,2353
LINE,172,2382,172,2387
LINE,200,2344,191,2353
LINE,219,2329,219,2334
LINE,267,2382,267,2370
LINE,262,2370,262,2382
LINE,267,2387,267,2382
LINE,317,2334,317,2329
LINE,320,2334,320,2344
LINE,198,2291,205,2291
LINE,205,2296,198,2296
LINE,205,2291,205,2296
LINE,212,2344,112,2344
LINE,212,2334,112,2334
LINE,112,2344,112,2334
LINE,205,2329,119,2329
LINE,114,2286,114,2334
LINE,181,2382,143,2382
LINE,143,2382,143,2387
LINE,148,2370,148,2382
LINE,152,2382,152,2372
LINE,119,2329,119,2334
LINE,176,2382,176,2370
LINE,172,2372,172,2382
LINE,181,2387,181,2382
LINE,128,2296,114,2296
LINE,114,2291,128,2291
LINE,128,2291,128,2296
LINE,210,2334,210,2286
LINE,205,2334,205,2329
LINE,212,2334,212,2344
LINE,181,2463,143,2463
LINE,143,2435,133,2463
LINE,128,2442,114,2442
LINE,114,2437,124,2437
LINE,114,2442,114,2437
LINE,124,2437,124,2435
LINE,128,2435,128,2442
LINE,181,2435,191,2463
LINE,207,2425,207,2406
LINE,164,2368,164,2286
LINE,198,2286,198,2334
LINE,198,2334,320,2334
LINE,320,2344,200,2344
LINE,317,2329,219,2329
