Polyline,X,Y
1,2454,2504
2,2454,2430
1,2462,2422
2,2461,2418
3,2457,2415
4,2453,2414
5,2449,2416
6,2446,2420
7,2446,2424
8,2449,2428
9,2453,2430
10,2457,2429
11,2461,2426
12,2462,2422
1,2462,2348
2,2461,2344
3,2457,2341
4,2453,2340
5,2449,2342
6,2446,2346
7,2446,2350
8,2449,2354
9,2453,2357
10,2457,2355
11,2461,2352
12,2462,2348
1,2472,2421
2,2482,2415
3,2489,2407
4,2493,2397
5,2495,2385
6,2494,2375
7,2489,2365
8,2483,2355
9,2473,2349
1,2454,2116
2,2454,1504
1,2520,2478
2,2519,2478
3,2517,2478
4,2516,2477
5,2516,2475
6,2516,2471
7,2516,2469
8,2517,2468
9,2519,2467
10,2520,2467
11,2523,2468
12,2526,2470
13,2534,2479
14,2534,2467
1,2516,2457
2,2516,2459
3,2519,2461
4,2524,2461
5,2527,2461
6,2531,2461
7,2533,2459
8,2534,2457
9,2534,2455
10,2533,2452
11,2531,2451
12,2527,2450
13,2524,2450
14,2519,2451
15,2516,2452
16,2516,2455
17,2516,2457
1,2534,2446
2,2516,2440
3,2534,2432
1,2528,2444
2,2528,2436
1,2516,2407
2,2534,2407
1,2516,2413
2,2516,2401
1,2534,2397
2,2516,2397
3,2516,2389
4,2516,2386
5,2517,2385
6,2519,2384
7,2522,2384
8,2524,2385
9,2525,2386
10,2526,2389
11,2526,2397
1,2534,2361
2,2516,2361
3,2534,2353
4,2516,2347
5,2534,2347
1,2520,2328
2,2518,2329
3,2516,2331
4,2516,2332
5,2516,2336
6,2516,2337
7,2518,2339
8,2520,2340
9,2523,2341
10,2527,2341
11,2530,2340
12,2532,2339
13,2533,2337
14,2534,2336
15,2534,2332
16,2533,2331
17,2532,2329
18,2530,2328
1,2520,2310
2,2518,2311
3,2516,2312
4,2516,2314
5,2516,2318
6,2516,2320
7,2518,2322
8,2520,2322
9,2523,2323
10,2527,2323
11,2530,2322
12,2532,2322
13,2533,2320
14,2534,2318
15,2534,2314
16,2533,2312
17,2532,2311
18,2530,2310
1,2525,2296
2,2526,2294
3,2527,2293
4,2528,2292
5,2531,2292
6,2532,2293
7,2533,2294
8,2534,2296
9,2534,2304
10,2516,2304
11,2516,2296
12,2516,2294
13,2517,2293
14,2519,2292
15,2520,2292
16,2523,2293
17,2524,2294
18,2525,2296
19,2525,2304
1,2550,2414
2,2549,2414
3,2547,2413
4,2547,2412
5,2546,2410
6,2546,2407
7,2547,2405
8,2549,2404
9,2551,2404
10,2552,2405
11,2555,2406
12,2564,2415
13,2564,2403
1,2546,2387
2,2546,2395
3,2553,2397
4,2552,2395
5,2552,2393
6,2552,2390
7,2552,2388
8,2554,2386
9,2557,2385
10,2558,2385
11,2562,2386
12,2563,2388
13,2564,2390
14,2564,2393
15,2563,2395
16,2563,2397
17,2561,2398
1,2546,2362
2,2564,2362
1,2552,2353
2,2561,2362
1,2557,2358
2,2564,2352
1,2564,2349
2,2546,2342
3,2564,2336
1,2558,2347
2,2558,2338
1,2383,1358
2,2382,1357
3,2381,1355
4,2380,1354
5,2377,1354
6,2376,1355
7,2374,1357
8,2374,1358
9,2373,1361
10,2373,1365
11,2374,1367
12,2374,1369
13,2376,1371
14,2377,1372
15,2380,1372
16,2381,1371
17,2382,1369
18,2383,1367
1,2388,1372
2,2388,1354
3,2394,1354
4,2396,1355
5,2396,1356
6,2397,1357
7,2397,1360
8,2396,1362
9,2394,1363
10,2388,1363
1,2417,1372
2,2417,1354
3,2425,1354
1,2417,1362
2,2422,1362
1,2432,1354
2,2431,1355
3,2429,1357
4,2429,1358
5,2428,1361
6,2428,1365
7,2429,1367
8,2429,1369
9,2431,1371
10,2432,1372
11,2435,1372
12,2436,1371
13,2437,1369
14,2438,1367
15,2439,1365
16,2439,1361
17,2438,1358
18,2437,1357
19,2436,1355
20,2435,1354
21,2432,1354
1,2444,1372
2,2444,1354
3,2451,1354
4,2452,1355
5,2453,1356
6,2454,1357
7,2454,1359
8,2453,1361
9,2452,1362
10,2451,1362
11,2444,1362
1,2449,1362
2,2454,1372
1,2471,1354
2,2475,1372
3,2478,1354
4,2482,1372
5,2486,1354
1,2488,1372
2,2493,1354
3,2498,1372
1,2490,1366
2,2496,1366
1,2504,1354
2,2504,1372
1,2500,1354
2,2509,1354
1,2512,1372
2,2512,1354
3,2522,1354
1,2512,1362
2,2518,1362
1,2512,1372
2,2522,1372
1,2526,1372
2,2526,1354
3,2532,1354
4,2534,1355
5,2535,1356
6,2535,1357
7,2535,1359
8,2535,1361
9,2534,1362
10,2532,1362
11,2526,1362
1,2531,1362
2,2535,1372
1,2370,1384
2,2370,1402
1,2365,1384
2,2375,1384
1,2378,1402
2,2378,1384
3,2384,1384
4,2386,1385
5,2387,1386
6,2387,1388
7,2387,1389
8,2387,1391
9,2386,1392
10,2384,1393
11,2378,1393
1,2383,1393
2,2387,1402
1,2390,1402
2,2395,1384
3,2401,1402
1,2392,1396
2,2399,1396
1,2405,1402
2,2405,1384
3,2414,1402
4,2414,1384
1,2428,1387
2,2427,1385
3,2425,1384
4,2422,1384
5,2420,1385
6,2419,1387
7,2419,1389
8,2420,1390
9,2420,1391
10,2422,1392
11,2426,1394
12,2427,1394
13,2428,1395
14,2428,1397
15,2428,1399
16,2427,1401
17,2425,1402
18,2422,1402
19,2420,1401
20,2419,1399
1,2433,1402
2,2433,1384
3,2443,1384
1,2433,1393
2,2438,1393
1,2446,1402
2,2446,1384
3,2455,1384
1,2446,1393
2,2451,1393
1,2446,1402
2,2455,1402
1,2459,1402
2,2459,1384
3,2465,1384
4,2467,1385
5,2467,1386
6,2468,1388
7,2468,1389
8,2467,1391
9,2467,1392
10,2465,1393
11,2459,1393
1,2463,1393
2,2468,1402
1,2488,1402
2,2488,1384
3,2494,1384
4,2496,1385
5,2496,1386
6,2497,1388
7,2497,1390
8,2496,1392
9,2496,1393
10,2494,1394
11,2488,1394
1,2502,1384
2,2502,1397
3,2503,1399
4,2504,1401
5,2506,1402
6,2507,1402
7,2509,1401
8,2511,1399
9,2511,1397
10,2511,1384
1,2517,1402
2,2517,1384
3,2523,1402
4,2528,1384
5,2528,1402
1,2534,1402
2,2534,1384
3,2540,1384
4,2542,1385
5,2542,1386
6,2543,1388
7,2543,1390
8,2542,1392
9,2542,1393
10,2540,1394
11,2534,1394
1,2419,1415
2,2426,1415
3,2422,1421
4,2424,1421
5,2426,1422
6,2426,1423
7,2427,1425
8,2427,1427
9,2426,1430
10,2425,1431
11,2423,1432
12,2421,1432
13,2419,1431
14,2418,1430
15,2418,1429
1,2432,1430
2,2432,1431
3,2432,1432
4,2433,1431
5,2432,1430
1,2447,1417
2,2447,1415
3,2445,1415
4,2443,1415
5,2440,1415
6,2439,1418
7,2438,1422
8,2438,1426
9,2439,1430
10,2440,1431
11,2443,1432
12,2444,1432
13,2446,1431
14,2447,1430
15,2448,1427
16,2448,1426
17,2447,1424
18,2446,1422
19,2444,1421
20,2443,1421
21,2440,1422
22,2439,1424
23,2438,1426
1,2454,1415
2,2461,1415
3,2457,1421
4,2459,1421
5,2460,1422
6,2461,1423
7,2462,1425
8,2462,1427
9,2461,1430
10,2459,1431
11,2458,1432
12,2455,1432
13,2454,1431
14,2453,1430
15,2452,1429
1,2466,1415
2,2466,1432
1,2473,1420
2,2466,1429
1,2469,1425
2,2474,1432
1,2476,1415
2,2479,1432
3,2484,1415
4,2487,1432
5,2491,1415
1,2450,1491
2,2448,1494
3,2448,1494
4,2445,1495
5,2441,1495
6,2445,1495
7,2445,1495
8,2448,1495
9,2449,1494
10,2450,1493
11,2453,1493
12,2450,1491
1,2454,1491
2,2450,1491
3,2450,1491
4,2453,1493
5,2453,1494
6,2450,1496
7,2450,1496
8,2448,1497
9,2444,1497
10,2440,1498
11,2444,1498
12,2446,1498
13,2449,1497
14,2451,1496
15,2452,1496
16,2454,1494
17,2454,1491
1,2441,1483
2,2439,1484
3,2439,1485
4,2437,1486
5,2437,1489
6,2437,1489
7,2437,1491
8,2439,1494
9,2441,1495
10,2445,1495
11,2443,1495
12,2439,1493
13,2438,1491
14,2438,1489
15,2438,1487
16,2439,1485
17,2441,1484
18,2444,1483
19,2441,1483
1,2445,1483
2,2441,1483
3,2444,1483
4,2445,1483
5,2448,1484
6,2448,1484
7,2450,1486
8,2454,1486
9,2454,1486
10,2450,1486
11,2450,1485
12,2448,1484
13,2448,1483
14,2445,1483
1,2448,1481
2,2445,1481
3,2448,1481
4,2450,1482
5,2452,1484
6,2453,1486
7,2450,1486
8,2454,1486
9,2453,1484
10,2451,1482
11,2451,1482
12,2448,1481
1,2445,1480
2,2441,1481
3,2438,1481
4,2436,1483
5,2436,1483
6,2434,1484
7,2433,1486
8,2433,1489
9,2433,1489
10,2433,1491
11,2434,1494
12,2436,1496
13,2437,1497
14,2440,1498
15,2444,1497
16,2443,1497
17,2439,1497
18,2436,1495
19,2435,1494
20,2434,1491
21,2434,1489
22,2434,1487
23,2435,1485
24,2436,1483
25,2438,1482
26,2440,1481
27,2445,1481
28,2448,1481
29,2445,1480
1,2467,1483
2,2462,1483
3,2462,1489
4,2467,1489
5,2468,1489
6,2463,1488
7,2463,1484
8,2467,1484
9,2467,1483
1,2467,1483
2,2467,1484
3,2470,1484
4,2471,1486
5,2470,1488
6,2467,1488
7,2463,1488
8,2468,1489
9,2470,1488
10,2471,1488
11,2471,1486
12,2471,1486
13,2470,1484
14,2470,1484
15,2467,1483
1,2471,1481
2,2468,1481
3,2470,1482
4,2473,1482
5,2474,1484
6,2475,1486
7,2474,1487
8,2473,1489
9,2471,1490
10,2468,1490
11,2462,1490
12,2462,1497
13,2459,1497
14,2458,1497
15,2463,1497
16,2463,1491
17,2468,1491
18,2471,1491
19,2473,1490
20,2475,1488
21,2475,1486
22,2475,1484
23,2473,1482
24,2471,1481
1,2468,1481
2,2458,1481
3,2458,1497
4,2459,1497
5,2459,1481
6,2468,1481
7,2471,1481
8,2468,1481
1,2494,1504
2,2494,1474
3,2414,1474
4,2414,1504
5,2494,1504
1,2474,3344
2,2468,3344
3,2468,3340
4,2467,3335
5,2466,3332
6,2464,3329
7,2462,3325
8,2459,3322
9,2457,3320
10,2454,3318
11,2450,3316
12,2447,3315
13,2443,3314
14,2438,3314
15,2438,3308
16,2444,3308
17,2448,3309
18,2453,3310
19,2457,3312
20,2461,3315
21,2464,3318
22,2467,3321
23,2470,3325
24,2472,3329
25,2473,3334
26,2474,3339
27,2474,3344
1,2474,3344
2,2468,3344
3,2468,3651
4,2474,3651
5,2474,3344
1,2438,3687
2,2438,3681
3,2443,3680
4,2447,3680
5,2450,3678
6,2454,3677
7,2457,3675
8,2459,3672
9,2462,3669
10,2464,3666
11,2466,3663
12,2467,3659
13,2468,3656
14,2468,3651
15,2474,3651
16,2474,3656
17,2473,3661
18,2472,3665
19,2470,3669
20,2467,3673
21,2464,3677
22,2461,3680
23,2457,3682
24,2453,3684
25,2448,3686
26,2444,3687
27,2438,3687
1,2438,3687
2,2438,3681
3,1998,3681
4,1998,3687
5,2438,3687
1,1962,3651
2,1968,3651
3,1968,3656
4,1970,3659
5,1971,3663
6,1973,3666
7,1975,3669
8,1977,3672
9,1980,3675
10,1983,3677
11,1987,3678
12,1990,3680
13,1994,3680
14,1998,3681
15,1998,3687
16,1993,3687
17,1989,3686
18,1984,3684
19,1980,3682
20,1976,3680
21,1973,3677
22,1970,3673
23,1966,3669
24,1964,3665
25,1963,3661
26,1962,3656
27,1962,3651
1,1962,3651
2,1968,3651
3,1968,3344
4,1962,3344
5,1962,3651
1,1998,3308
2,1998,3314
3,1994,3314
4,1990,3315
5,1987,3316
6,1983,3318
7,1980,3320
8,1977,3322
9,1975,3325
10,1973,3329
11,1971,3332
12,1970,3335
13,1968,3340
14,1968,3344
15,1962,3344
16,1962,3339
17,1963,3334
18,1964,3329
19,1966,3325
20,1970,3321
21,1973,3318
22,1976,3315
23,1980,3312
24,1984,3310
25,1989,3309
26,1993,3308
27,1998,3308
