Polyline,X,Y
1,467,1645
2,467,1433
1,3055,1536
2,3055,1210
1,4867,3596
2,4867,271
1,128,272
2,4868,272
1,1878,914
2,2393,914
1,1418,963
2,3234,963
1,1466,1216
2,1999,1216
1,551,2071
2,914,2071
1,2214,2071
2,2463,2071
1,2843,2749
2,3221,2749
1,4290,1302
2,4615,1302
1,4285,1470
2,4619,1470
1,4189,1554
2,4718,1554
1,4353,1599
2,4553,1599
1,2395,2808
2,2473,2808
1,3747,3351
2,4055,3351
text_xmin,text_ymin,text_xmax,text_ymax
128,659,173,623
150,897,170,866
128,1150,173,1114
150,1390,170,1363
128,1640,193,1604
150,1882,170,1855
150,2375,170,2343
368,316,390,289
619,315,623,275
860,316,881,289
1112,315,1115,275
1351,317,1374,289
1604,315,1608,275
1845,316,1865,285
2338,316,2357,285
1785,783,1932,759
1953,783,2179,759
2203,783,2336,759
2359,783,2544,759
2588,315,2592,275
2830,316,2849,285
3322,317,3343,289
3573,315,3577,275
3306,665,3399,642
3425,665,3483,642
3508,665,3542,642
3563,665,3660,642
3684,665,3744,642
3306,701,3434,677
3459,701,3539,677
3563,701,3622,678
3646,701,3685,677
3815,316,3835,289
1559,833,1576,810
1579,824,1597,810
1600,833,1638,810
2584,833,2662,810
977,888,1077,865
1087,955,1147,932
1878,905,1909,882
1918,896,1936,883
1938,905,1956,882
1981,905,2147,882
2172,905,2291,882
2316,905,2393,882
2778,921,2879,898
3306,847,3443,823
3468,847,3509,823
3531,846,3566,824
3587,847,3703,823
3306,890,3506,861
3528,884,3566,861
3591,884,3629,861
3652,890,3878,861
3307,999,3497,975
3523,999,3641,975
768,960,1077,915
1422,970,1432,925
2044,1060,2084,974
2779,994,3087,949
681,930,790,900
816,923,897,900
922,923,1020,900
1044,930,1077,900
1418,1114,1432,1091
1702,954,1778,931
2332,955,2409,932
2540,1049,2544,1027
2652,1003,2689,798
2778,963,2886,933
2912,956,2993,933
3017,956,3116,933
3141,956,3156,933
3157,1018,3233,995
3205,978,3234,954
3217,1114,3288,978
1239,1009,1294,986
1654,1009,1691,986
1694,1000,1712,986
1715,1009,1732,986
2048,1111,2085,1007
2066,1096,2100,991
2700,1147,2836,993
2859,1143,3138,1010
1276,1116,1375,1006
1643,1146,1718,1037
1744,1146,2427,1076
2453,1146,2529,1076
2555,1146,2630,1076
3307,1035,3366,1011
3391,1034,3425,1012
3446,1035,3543,1011
