Polyline,X,Y
5578,1691,5775,1659
5792,1691,5999,1655
5442,1723,5465,1693
5491,1723,5567,1693
5591,1723,5771,1693
5880,1723,5946,1693
5971,1728,6040,1693
5442,1759,5465,1735
5490,1759,5634,1735
5658,1759,5851,1735
5880,1759,5946,1735
5971,1763,6040,1735
5442,1801,5548,1771
5569,1795,5720,1771
5745,1801,5895,1771
5442,1832,5560,1808
5584,1832,5751,1808
5775,1832,5840,1808
5863,1832,5895,1808
5920,1832,5969,1808
5993,1832,6127,1808
5571,1909,5682,1886
5704,1910,5798,1881
5818,1910,6005,1885
5704,1942,5803,1918
5827,1942,5873,1918
5446,2019,5678,1986
5700,2021,6031,1981
6051,2019,6133,1986
5658,2055,5704,2022
5725,2055,5919,2023
5654,2092,5747,2062
5771,2100,5924,2062
5443,2201,5477,2177
5501,2201,5681,2177
5705,2201,5755,2177
5780,2201,5804,2177
5830,2201,5899,2177
6270,836,6323,777
6276,1167,6302,1125
6270,1475,6323,1416
6276,1807,6302,1771
6270,2115,6323,2056
6275,2447,6302,2412
6276,3088,6302,3046
6276,3728,6301,3686
186,4033,346,3991
369,4040,438,3991
455,4044,566,3991
584,4032,650,3991
667,4033,804,3991
826,4032,938,3991
957,4033,1105,3991
1122,4033,1409,3990
1429,4044,1617,3991
1637,4033,1668,3991
1688,4033,1986,3991
2006,4033,2109,3991
2130,4033,2350,3990
2367,4033,2417,3991
2437,4032,2582,3991
180,4122,702,4069
718,4112,990,4070
1008,4112,1147,4069
1164,4112,1247,4070
1265,4123,1454,4070
1467,4112,1576,4070
1593,4112,1646,4070
1664,4122,1856,4070
1875,4111,1914,4070
1935,4112,2015,4070
2032,4111,2134,4070
2150,4112,2226,4070
2243,4112,2428,4070
2443,4112,2491,4069
2503,4112,2580,4070
180,4202,1058,4149
1082,4191,1310,4150
1337,4191,1421,4150
1450,4203,1598,4150
1626,4203,1788,4150
1817,4191,1864,4149
1889,4191,1964,4150
1991,4191,2143,4150
2165,4191,2468,4149
2495,4191,2579,4150
183,4270,545,4228
562,4270,611,4228
625,4270,700,4228
719,4282,907,4228
926,4270,983,4228
997,4282,1094,4228
1112,4270,1290,4228
1306,4270,1381,4228
1402,4270,1719,4228
1734,4270,1847,4228
1864,4282,1947,4228
1965,4270,2101,4228
2118,4282,2270,4228
2287,4270,2366,4228
2383,4270,2430,4228
2447,4270,2583,4228
184,4349,329,4307
359,4348,397,4307
428,4349,502,4307
534,4361,696,4307
727,4349,1016,4307
1046,4349,1129,4307
1161,4349,1368,4307
1398,4349,1448,4307
1476,4349,1691,4307
1720,4349,1803,4307
1837,4360,2135,4307
2166,4349,2250,4307
2281,4349,2579,4307
184,4440,392,4387
410,4429,515,4387
535,4429,611,4387
630,4429,682,4387
705,4429,1024,4387
1044,4428,1082,4387
1100,4429,1173,4386
1191,4429,1240,4387
1258,4440,1352,4387
1368,4429,1543,4386
1559,4428,1598,4387
1617,4440,1700,4387
1715,4429,1826,4386
1843,4429,1893,4387
1910,4440,2074,4387
2093,4429,2140,4387
2160,4429,2379,4386
2396,4429,2581,4387
183,4508,353,4466
371,4518,622,4466
640,4508,750,4465
769,4507,925,4466
4893,4068,4946,3977
4988,4068,5030,3977
5869,4067,5887,3975
5936,4067,5956,3975
6011,4067,6031,3975
6081,4067,6126,3975
6155,4067,6179,3975
6241,4067,6324,3976
183,4638,403,4595
419,4638,487,4595
502,4649,622,4596
636,4638,712,4596
728,4638,1027,4596
1044,4649,1192,4596
1208,4649,1419,4596
1435,4638,1539,4596
1558,4638,1611,4596
1627,4638,1844,4595
3040,4651,3064,4610
3365,4650,3370,4597
3679,4651,3704,4610
4318,4652,4346,4612
4645,4650,4650,4597
4935,4212,4946,4182
4952,4201,4977,4166
4975,4183,4987,4154
4872,4347,4976,4135
5008,4347,5272,4264
4948,4540,5001,4519
4959,4651,4986,4610
5286,4650,5291,4597
5886,4196,6139,4170
6160,4198,6242,4175
5704,4371,6134,4341
6137,4371,6187,4341
6245,4370,6250,4341
6275,4370,6302,4341
5650,4487,5874,4457
5888,4487,6054,4457
6066,4495,6142,4457
5864,4593,6073,4540
6092,4594,6238,4542
