Polyline,X,Y
2414,695,2423,681
2411,813,2432,791
2413,941,2424,927
2414,1187,2424,1171
2414,1434,2423,1417
71,1551,133,1535
142,1554,168,1535
175,1555,217,1535
224,1551,250,1535
256,1551,309,1535
317,1551,361,1535
368,1551,425,1535
431,1551,541,1535
549,1555,622,1535
629,1551,641,1535
649,1551,764,1535
771,1551,811,1535
819,1551,903,1535
910,1551,929,1535
937,1551,993,1535
69,1585,270,1565
276,1581,381,1565
387,1581,441,1565
447,1581,479,1565
486,1586,559,1565
564,1581,606,1565
612,1581,633,1565
640,1585,714,1565
721,1581,736,1565
744,1581,775,1565
781,1581,820,1565
827,1581,856,1565
862,1581,933,1565
939,1581,958,1565
963,1581,992,1565
69,1616,406,1596
416,1612,504,1596
514,1612,546,1596
557,1616,614,1596
625,1616,687,1596
699,1612,717,1596
726,1612,755,1596
766,1612,824,1596
832,1612,949,1596
959,1612,992,1596
70,1642,209,1626
216,1642,235,1626
240,1642,269,1626
276,1647,348,1626
356,1642,378,1626
383,1647,420,1626
427,1642,496,1626
502,1642,531,1626
539,1642,661,1626
667,1642,710,1626
717,1647,749,1626
755,1642,808,1626
814,1647,873,1626
879,1642,910,1626
916,1642,934,1626
941,1642,993,1626
70,1672,126,1656
138,1672,153,1656
164,1672,193,1656
205,1677,267,1656
279,1672,391,1656
402,1672,434,1656
446,1672,526,1656
537,1672,557,1656
567,1672,650,1656
661,1672,693,1656
706,1677,821,1656
833,1672,865,1656
877,1672,992,1656
70,1708,151,1687
157,1703,198,1687
206,1703,235,1687
242,1703,262,1687
271,1703,394,1687
401,1703,416,1687
423,1703,451,1687
458,1703,476,1687
484,1707,520,1687
526,1703,593,1687
599,1703,614,1687
622,1708,653,1687
659,1703,702,1687
709,1703,728,1687
734,1707,797,1687
805,1703,823,1687
830,1703,915,1687
921,1703,993,1687
70,1733,136,1717
142,1738,239,1717
246,1733,288,1717
295,1733,356,1717
1882,1564,1902,1529
1918,1564,1934,1529
2257,1564,2264,1529
2283,1564,2290,1529
2312,1564,2319,1529
2339,1564,2356,1529
2367,1564,2376,1529
2400,1564,2432,1529
70,1783,155,1767
161,1783,187,1767
193,1788,239,1767
244,1783,273,1767
280,1783,395,1767
401,1788,458,1767
464,1788,545,1767
