Polyline,X,Y
5770,1786,5842,1756
5860,1786,5986,1755
6008,1786,6086,1756
4992,1820,5206,1789
5227,1825,5300,1790
5320,1820,5392,1789
5408,1819,5537,1789
5557,1819,5613,1789
5633,1820,5671,1789
5692,1819,5730,1790
5748,1819,5869,1790
5891,1820,5970,1789
5991,1819,6047,1790
6068,1820,6163,1789
4992,1858,5049,1827
5070,1866,5130,1827
5150,1866,5238,1827
4992,1924,5035,1895
5057,1924,5222,1894
5244,1924,5475,1894
5497,1924,5637,1894
5657,1924,5722,1895
5742,1924,5780,1895
5801,1924,5944,1894
5964,1924,6031,1895
6052,1924,6226,1894
4992,1959,5074,1928
5093,1958,5152,1929
5175,1959,5315,1928
5334,1958,5475,1929
5496,1959,5552,1928
5575,1958,5613,1929
5633,1959,5725,1928
5743,1959,5862,1928
5882,1959,6053,1928
6275,1807,6301,1771
6274,2447,6302,2412
2470,2568,2480,2500
2489,2582,2812,2493
3719,2559,4061,2506
2477,4533,2820,4502
3387,4532,3398,4464
3399,4539,3535,4469
3553,4551,3729,4470
3040,4651,3065,4610
3679,4651,3704,4610
5242,2832,5814,2771
4046,2901,4375,2857
4393,2902,4694,2856
5240,2867,5330,2837
5339,2876,5529,2837
5537,2868,5642,2838
5654,2870,5814,2837
4045,3011,4179,2981
4202,3017,4258,2981
4279,3019,4370,2981
4390,3011,4418,2981
4436,3011,4449,2981
4469,3011,4582,2981
4604,3011,4697,2981
4717,3011,4839,2981
4858,3011,5099,2981
5119,3019,5275,2981
5296,3011,5323,2981
5343,3011,5591,2981
5611,3011,5694,2981
5718,3011,5900,2981
5920,3011,5959,2981
5982,3011,6101,2981
4043,3076,4215,3046
4231,3084,4478,3046
4496,3076,4721,3046
4740,3076,4855,3046
4874,3076,4945,3046
4963,3084,5120,3046
5138,3076,5224,3046
5244,3076,5290,3046
5309,3084,5468,3046
5487,3076,5520,3046
5541,3076,5609,3046
5627,3076,5711,3046
5730,3076,5793,3046
5813,3076,5962,3046
5981,3076,6021,3046
6036,3076,6100,3046
4043,3142,4215,3112
4245,3150,4496,3112
4528,3142,4777,3112
4803,3142,5000,3112
5025,3142,5095,3112
5125,3150,5247,3112
5278,3150,5413,3112
5443,3142,5482,3112
5508,3142,5571,3112
5602,3142,5723,3112
5751,3142,6001,3112
6030,3142,6100,3112
4044,3208,4266,3178
4268,3208,4283,3178
4286,3208,4344,3178
4363,3208,4402,3178
4419,3208,4482,3178
4501,3216,4658,3178
4678,3208,4724,3178
4743,3216,4821,3178
4841,3208,4990,3178
5008,3208,5071,3178
5091,3208,5354,3178
5371,3208,5463,3178
5483,3216,5552,3178
5572,3208,5685,3178
5703,3216,5829,3178
5848,3208,5912,3178
5932,3208,5970,3178
5989,3208,6101,3178
4044,3274,4163,3243
4179,3273,4212,3244
4227,3274,4289,3244
4304,3282,4437,3244
4454,3274,4693,3244
4709,3274,4779,3244
4795,3274,4966,3244
4982,3274,5021,3243
5036,3274,5215,3244
5228,3274,5299,3244
5314,3281,5562,3244
5578,3274,5648,3244
5663,3274,5910,3244
5926,3282,6101,3244
4044,3338,4130,3308
4153,3338,4216,3308
4237,3338,4282,3308
4303,3338,4569,3308
4592,3338,4625,3308
4645,3338,4704,3308
4727,3338,4766,3308
4788,3346,4865,3308
4886,3338,5030,3308
5051,3338,5084,3308
5104,3346,5173,3308
5192,3338,5285,3308
5306,3338,5346,3308
5366,3346,5501,3308
5523,3338,5563,3308
5584,3338,5766,3308
5787,3338,5939,3308
5958,3338,6100,3308
4045,3411,4253,3373
4266,3403,4359,3373
4373,3403,4503,3373
4044,3512,4227,3481
4239,3512,4295,3481
4308,3520,4407,3482
4419,3512,4482,3482
4494,3512,4743,3482
4755,3520,4878,3482
4892,3520,5067,3482
5080,3512,5166,3482
5181,3512,5226,3482
5238,3512,5419,3481
5270,4417,5374,4246
4318,4652,4346,4612
4959,4651,4986,4616
6275,3088,6301,3052
6275,3728,6300,3692
