Polyline,X,Y
4608,1399,4651,1377
4667,1400,4741,1376
3840,1429,3884,1406
3900,1435,3946,1406
3962,1435,4029,1406
3840,1480,3873,1457
3890,1480,4017,1457
4034,1480,4212,1457
4228,1480,4336,1457
4351,1480,4401,1457
4417,1480,4446,1457
4462,1480,4572,1457
4588,1480,4639,1457
4656,1480,4789,1457
3840,1507,3903,1483
3918,1506,3963,1484
3981,1507,4088,1483
4103,1506,4212,1484
4228,1507,4271,1483
4288,1506,4318,1484
4333,1507,4404,1483
4418,1507,4509,1483
4524,1507,4656,1483
4827,1390,4846,1363
4826,1882,4847,1855
1900,1975,1908,1923
1915,1986,2163,1918
2861,1968,3124,1928
1906,3487,2169,3463
2606,3486,2614,3434
2615,3491,2719,3437
2733,3501,2869,3438
2338,3578,2357,3546
2830,3578,2849,3546
4032,2179,4472,2131
3112,2232,3365,2198
3379,2232,3611,2197
4031,2206,4100,2183
4107,2212,4253,2183
4259,2206,4340,2183
4349,2207,4472,2183
3112,2316,3215,2293
3232,2320,3275,2293
3291,2323,3362,2293
3377,2316,3398,2293
3412,2316,3422,2293
3438,2316,3525,2293
3541,2316,3613,2293
3628,2316,3722,2293
3737,2316,3922,2293
3937,2323,4058,2293
4074,2316,4094,2293
4110,2316,4300,2293
4316,2316,4380,2293
4398,2316,4538,2293
4554,2316,4584,2293
4601,2316,4693,2293
3110,2366,3242,2343
3255,2372,3444,2343
3458,2366,3632,2343
3646,2366,3735,2343
3749,2366,3804,2343
3818,2373,3939,2343
3952,2366,4018,2343
4034,2366,4069,2343
4084,2372,4206,2343
4221,2366,4246,2343
4262,2366,4314,2343
4328,2366,4393,2343
4408,2366,4456,2343
4471,2366,4586,2343
4600,2366,4631,2343
4643,2366,4692,2343
3110,2417,3242,2394
3265,2423,3459,2394
3483,2417,3675,2394
3695,2417,3846,2394
3865,2417,3919,2394
3942,2423,4036,2394
4060,2423,4163,2394
4187,2417,4216,2394
4237,2417,4285,2394
4309,2417,4402,2394
4423,2417,4616,2394
4639,2417,4692,2394
3111,2468,3281,2445
3283,2468,3294,2445
3297,2468,3341,2445
3356,2468,3386,2445
3399,2468,3447,2445
3462,2474,3583,2445
3598,2468,3634,2445
3648,2474,3708,2445
3724,2468,3838,2445
3852,2468,3901,2445
3916,2468,4119,2445
4132,2468,4202,2445
4218,2474,4271,2445
4286,2468,4373,2445
4387,2474,4483,2445
4498,2468,4548,2445
4563,2468,4592,2445
4607,2468,4693,2445
3111,2518,3203,2495
3215,2518,3240,2495
3251,2518,3299,2495
3311,2524,3413,2495
3426,2518,3610,2495
3622,2518,3676,2495
3688,2518,3820,2495
3832,2518,3862,2495
3873,2518,4011,2495
4022,2518,4076,2495
4088,2524,4279,2495
4291,2518,4345,2495
4356,2518,4546,2495
4558,2524,4693,2495
3111,2568,3177,2545
3194,2568,3243,2545
3259,2568,3293,2545
3310,2568,3515,2545
3532,2568,3557,2545
3573,2568,3619,2545
3636,2568,3666,2545
3683,2574,3742,2545
3758,2568,3869,2545
3885,2568,3910,2545
3926,2574,3979,2545
3994,2568,4065,2545
4081,2568,4112,2545
4128,2574,4232,2545
4248,2568,4279,2545
4295,2568,4435,2545
4451,2568,4568,2545
4583,2568,4692,2545
3112,2624,3271,2595
3281,2618,3353,2594
3364,2617,3464,2595
3111,2701,3251,2678
3261,2701,3303,2678
3314,2708,3390,2678
3399,2701,3447,2678
3457,2701,3648,2678
3658,2708,3752,2678
3763,2708,3897,2678
3907,2701,3974,2678
3985,2701,4020,2678
4029,2701,4168,2678
4054,3398,4134,3266
3322,3578,3343,3548
3815,3578,3835,3550
4827,2375,4846,2348
4827,2868,4846,2840
