Polyline,X,Y
3123,1036,3201,1020
3211,1036,3247,1020
3259,1036,3352,1020
2688,1055,2732,1038
2742,1054,2774,1038
2786,1055,2862,1038
2872,1054,2948,1038
2959,1055,2989,1038
3002,1054,3022,1038
3033,1055,3083,1038
3092,1055,3156,1038
3167,1055,3259,1038
3379,973,3392,954
3378,1318,3393,1299
1330,1383,1335,1346
1340,1390,1514,1343
2002,1378,2186,1349
1334,2441,1518,2424
1824,2440,1830,2404
1830,2444,1903,2406
1913,2450,2008,2407
1637,2505,1650,2482
1981,2504,1994,2482
2822,1525,3130,1492
2178,1562,2355,1538
2366,1562,2527,1538
2821,1544,2870,1528
2875,1549,2977,1528
2981,1544,3038,1528
3044,1545,3130,1528
2178,1621,2250,1605
2262,1624,2293,1605
2304,1626,2353,1605
2364,1621,2379,1605
2389,1621,2395,1605
2406,1621,2467,1605
2479,1621,2529,1605
2540,1621,2606,1605
2616,1621,2746,1605
2756,1626,2840,1605
2852,1621,2866,1605
2877,1621,3010,1605
3021,1621,3066,1605
3079,1621,3177,1605
3187,1621,3209,1605
3221,1621,3285,1605
2177,1656,2269,1640
2278,1661,2411,1640
2420,1656,2542,1640
2552,1656,2614,1640
2624,1656,2662,1640
2672,1661,2757,1640
2766,1656,2812,1640
2824,1656,2848,1640
2859,1661,2944,1640
2955,1656,2972,1640
2983,1656,3020,1640
3029,1656,3075,1640
3085,1656,3119,1640
3130,1656,3210,1640
3220,1656,3242,1640
3250,1656,3285,1640
2177,1692,2269,1676
2286,1696,2421,1676
2438,1692,2572,1676
2586,1692,2692,1676
2706,1692,2743,1676
2759,1696,2825,1676
2842,1696,2914,1676
2931,1692,2951,1676
2966,1692,3000,1676
3016,1692,3081,1676
3096,1692,3231,1676
3247,1692,3285,1676
2177,1728,2297,1711
2298,1727,2306,1711
2308,1728,2339,1711
2349,1728,2370,1711
2379,1728,2413,1711
2424,1732,2508,1711
2519,1728,2543,1711
2554,1732,2595,1711
2607,1728,2687,1711
2696,1728,2730,1711
2741,1728,2883,1711
2892,1728,2941,1711
2952,1732,2990,1711
3000,1728,3061,1711
3071,1732,3138,1711
3149,1728,3183,1711
3194,1728,3215,1711
3225,1728,3285,1711
2177,1763,2242,1746
2250,1762,2268,1747
2276,1763,2309,1747
2317,1767,2389,1747
2398,1763,2527,1747
2535,1763,2573,1747
2582,1763,2674,1747
2682,1763,2703,1746
2711,1763,2808,1747
2815,1763,2853,1747
2861,1767,2995,1747
3003,1763,3041,1747
3049,1763,3182,1747
3191,1767,3285,1747
2177,1798,2224,1781
2236,1798,2270,1781
2281,1798,2305,1781
2317,1798,2460,1781
2472,1797,2490,1781
2501,1798,2533,1781
2545,1798,2566,1781
2578,1802,2619,1781
2630,1798,2708,1781
2720,1797,2737,1781
2748,1802,2785,1781
2795,1798,2845,1781
2857,1798,2878,1781
2889,1802,2962,1781
2974,1798,2995,1781
3007,1798,3105,1781
3116,1798,3198,1781
3208,1798,3285,1781
2178,1837,2290,1816
2297,1832,2347,1816
2355,1832,2425,1816
2177,1891,2276,1875
2283,1891,2312,1875
2320,1895,2373,1875
2379,1891,2413,1875
2420,1891,2554,1875
2560,1895,2626,1875
2634,1895,2728,1875
2735,1891,2782,1875
2790,1891,2814,1875
2820,1891,2917,1875
2838,2378,2893,2287
2325,2505,2340,2484
2670,2504,2684,2485
3378,1663,3392,1643
3379,2007,3392,1988
