xmin,ymin,xmax,ymax,Text
4595,145,4830,131,\W1.000490;75 mm DIA OR ABOVE uPVC.
4578,239,4694,216,\W0.999988;Description
4911,239,4951,216,\W1.000408;Qty.
4521,739,4631,727,\W1.000099;THRUST BLOCK
4449,500,4472,493,\W1.000485;WMC
4423,500,4432,493,\W1.000497;IC
4525,495,4783,483,\W1.001888;1.0&quot; Dia IRRIGATION WATER SUPPLY
4525,514,4652,503,\W1.000224;METER ASSEMBLY
4516,382,4609,371,\W1.000872;75x75x75mm
4634,382,4727,370,\W1.000171;Dia uPVC TEE
4521,433,4830,419,\W1.000152;TIE IN CONNECTION WITH 75 mm Dia
4520,455,4601,442,\W0.999920;uPVC PIPE
4525,589,4726,576,\W0.999987;50x38mm Dia uPVC Reducer
4524,618,4726,606,\W0.999708;38x25mm Dia uPVC Reducer
4522,800,4588,789,\W1.000342;TRIAL PIT
4524,978,4675,966,\W1.000244;CONCRETE BARRIERS
4524,560,4726,548,\W1.000456;75x50mm Dia uPVC Reducer
4841,3264,4988,3254,\W1.000799;GL/IR165/JO181/WD-01
4498,3367,4730,3349,\W0.999961;1&quot; Irrigation Connection for
4415,3391,4807,3373,\W0.999939;Mr. Ahmad Mohammod Saeed Bin Khadeya for
4540,3412,4689,3398,\W0.999938;Plot no. 615-3060
4501,3436,4727,3421,\W0.999948;with DEWA Water Services
4504,3463,4574,3445,\W1.000164;(JO-181)
4584,3459,4726,3445,\W0.999837;Nad Al Shiba 2nd
4522,282,4668,269,\W0.999595;3&quot; INCH DIA uPVC
4522,331,4668,318,\W1.003769;1&quot; INCH DIA uPVC
4523,863,4768,851,\W1.000180;EXISTING SHRUB REINSTATEMENT
4523,921,4766,910,\W1.000170;EXISTING GRASS REINSTATEMENT
4896,980,4969,969,\W1.006672;15.00 Mtrs
4896,923,4969,911,\W1.006672;16.50 Mtrs
4900,860,4958,848,\W1.008270;1.00 Mtr
4912,801,4955,789,\W1.002401;2 Nos.
4912,738,4955,726,\W1.002401;2 Nos.
4914,589,4950,577,\W1.013512;1 No.
4914,618,4950,606,\W1.013512;1 No.
4914,560,4950,549,\W1.013512;1 No.
4914,502,4950,490,\W1.013512;1 No.
4914,438,4950,426,\W1.013512;1 No.
4914,382,4950,371,\W1.013512;1 No.
4914,676,4950,664,\W1.013512;1 No.
4896,329,4969,318,\W1.006672;12.00 Mtrs
4895,281,4969,269,\W0.999339;38.00 Mtrs
Polyline,X,Y
1,2450,2927
2,2450,2921
3,2446,2922
1,1938,1601
2,1938,1607
3,1942,1607
1,4057,667
2,4057,662
3,4053,662
1,2463,2816
2,2463,2822
3,2467,2822
1,1985,3387
2,1986,3393
3,1989,3393
1,1845,1588
2,1846,1594
3,1849,1593
1,2465,2808
2,2465,2814
3,2468,2814
1,3337,522
2,3337,529
3,3340,529
1,589,1742
2,594,1742
3,595,1739
1,588,1739
2,594,1739
3,594,1735
1,2322,2315
2,2322,2321
3,2325,2321
1,2358,2064
2,2359,2069
3,2362,2069
