xmin,ymin,xmax,ymax,Text
16,2118,3165
1,3072,3185
2,3072,3186
3,3072,3187
4,3072,3188
5,3073,3189
6,3074,3189
7,3074,3189
8,3074,3188
9,3074,3186
10,3074,3185
11,3075,3184
12,3076,3184
13,3077,3186
14,3078,3186
15,3078,3188
16,3077,3188
1,3087,3179
2,3087,3179
3,3088,3177
4,3087,3176
5,3086,3176
6,3085,3176
7,3084,3176
8,3084,3176
9,3084,3179
10,3084,3179
11,3084,3180
12,3083,3180
13,3082,3179
14,3081,3178
15,3081,3177
16,3082,3176
1,2209,2887
2,2155,3066
1,2188,2970
2,2188,2970
3,2189,2971
4,2189,2972
5,2188,2972
6,2188,2972
7,2187,2972
8,2187,2972
9,2187,2969
10,2186,2972
1,2187,2976
2,2185,2976
3,2187,2978
4,2184,2978
5,2187,2979
1,2184,2978
2,2186,2981
3,2184,2981
1,2184,2979
2,2184,2981
1,2185,2982
2,2184,2984
3,2184,2985
1,2184,2984
2,2183,2983
1,2310,750
2,2183,708
1,2248,735
2,2248,732
3,2247,734
4,2247,732
5,2245,733
1,2246,731
2,2243,733
3,2243,730
1,2245,732
2,2243,731
1,2241,733
2,2240,731
3,2239,732
1,2240,731
2,2241,729
1,2818,2631
2,3168,2748
1,2987,2683
2,2987,2683
3,2987,2683
4,2988,2683
5,2989,2683
6,2989,2684
7,2988,2684
8,2986,2685
9,2989,2686
1,2992,2684
2,2992,2687
3,2994,2685
4,2994,2687
5,2996,2686
1,2996,2688
2,2997,2686
3,2998,2689
1,2996,2687
2,2998,2688
1,2999,2686
2,3000,2688
3,3002,2687
1,3000,2688
2,2999,2689
1,2749,2986
2,2841,3016
1,2790,2995
2,2790,2995
3,2789,2995
4,2789,2995
5,2789,2995
6,2789,2996
7,2789,2997
8,2789,2997
9,2790,2997
10,2790,2996
11,2790,2995
12,2789,2995
13,2789,2995
1,2794,2996
2,2794,2998
3,2795,2996
4,2795,2999
5,2797,2997
1,2797,2999
2,2798,2998
3,2799,3000
1,2798,2998
2,2799,2999
1,2801,2998
2,2802,2999
3,2803,2999
1,2802,2999
2,2802,3001
1,2600,3021
2,2543,3203
1,2579,3103
2,2579,3103
3,2579,3103
4,2577,3103
1,2577,3104
2,2578,3107
1,2576,3106
2,2578,3104
1,2577,3109
2,2578,3109
3,2578,3108
4,2578,3107
5,2577,3107
6,2577,3107
7,2576,3107
8,2576,3107
9,2575,3107
10,2575,3108
11,2576,3109
12,2577,3108
13,2577,3107
14,2577,3107
1,2576,3113
2,2574,3113
3,2576,3114
4,2573,3114
5,2575,3116
1,2573,3116
2,2575,3117
3,2572,3118
1,2574,3117
2,2573,3118
1,2575,3120
2,2573,3120
3,2574,3122
1,2573,3120
2,2572,3120
1,3015,3103
2,2711,3001
1,2872,3060
2,2872,3060
3,2871,3060
4,2872,3057
1,2871,3057
2,2868,3057
1,2869,3056
2,2870,3058
1,2866,3057
2,2866,3058
3,2867,3058
4,2867,3057
5,2867,3057
6,2867,3056
7,2867,3056
8,2866,3056
9,2866,3057
10,2867,3057
11,2867,3057
12,2867,3057
13,2867,3057
1,2861,3057
2,2861,3054
3,2861,3056
4,2861,3054
5,2859,3055
1,2859,3053
2,2857,3055
3,2857,3052
1,2858,3054
2,2857,3053
1,2855,3054
2,2854,3053
3,2853,3054
1,2854,3053
2,2854,3051
1,4164,24
2,3810,1088
3,3827,1095
4,3809,1089
5,3792,1140
6,3814,1149
1,3824,1104
2,3800,1097
3,4094,215
4,4218,256
1,32,982
2,206,995
3,214,927
1,2568,1872
2,2559,1897
3,2053,1725
4,2368,766
5,2178,703
6,2086,749
7,1711,624
8,1735,552
1,1337,2637
2,1602,2725
3,1674,2537
1,2557,1867
2,2552,1887
3,2064,1720
4,2142,1482
5,1941,1406
6,2088,963
7,2038,866
8,1772,777
9,1757,825
1,2452,562
2,2503,408
3,2544,422
1,32,2283
2,36,2283
3,98,2292
4,159,2302
5,214,2312
6,269,2323
7,325,2334
8,377,2345
9,405,2264
1,3826,1099
2,3805,1092
3,4077,273
