Polyline,X,Y,
,,,
2,3919,2557,
,,,
3,3827,2428,
,,,
4,3832,2427,
,,,
1,3919,2557,
,,,
2,3827,2428,
,,,
3,3910,2555,
,,,
4,3919,2557,
,,,
1,3827,2428,
,,,
2,3910,2555,
,,,
3,3820,2429,
,,,
4,3827,2428,
,,,
1,3910,2555,
,,,
2,3820,2429,
,,,
3,3901,2554,
,,,
4,3910,2555,
,,,
1,3820,2429,
,,,
2,3901,2554,
,,,
3,3812,2429,
,,,
4,3820,2429,
,,,
1,3901,2554,
,,,
2,3812,2429,
,,,
3,3892,2555,
,,,
4,3901,2554,
,,,
1,3812,2429,
,,,
2,3892,2555,
,,,
3,3803,2430,
,,,
4,3812,2429,
,,,
1,3892,2555,
,,,
2,3803,2430,
,,,
3,3885,2555,
,,,
4,3892,2555,
,,,
1,3803,2430,
,,,
2,3885,2555,
,,,
3,3796,2431,
,,,
4,3803,2430,
,,,
1,3885,2555,
,,,
2,3796,2431,
,,,
3,3850,2559,
,,,
4,3885,2555,
,,,
1,3796,2431,
,,,
2,3850,2559,
,,,
3,3802,2491,
,,,
4,3796,2431,
,,,
1,3802,2491,
,,,
2,3805,2530,
,,,
3,3837,2574,
,,,
4,3802,2491,
,,,
1,3805,2530,
,,,
2,3837,2574,
,,,
3,3809,2577,
,,,
4,3805,2530,
,,,
1,3802,2491,
,,,
2,3850,2559,
,,,
3,3837,2574,
,,,
4,3802,2491,
,,,
1,3819,2380,
,,,
2,3811,2398,
,,,
3,3789,2367,
,,,
4,3819,2380,
,,,
1,3811,2398,
,,,
2,3789,2367,
,,,
3,3796,2431,
,,,
4,3811,2398,
,,,
1,3789,2367,
,,,
2,3796,2431,
,,,
3,3754,2371,
,,,
4,3789,2367,
,,,
1,3796,2431,
,,,
2,3754,2371,
,,,
3,3809,2577,
,,,
4,3796,2431,
,,,
1,3754,2371,
,,,
2,3809,2577,
,,,
3,3668,2380,
,,,
4,3754,2371,
,,,
1,3825,2601,
,,,
2,3825,2601,
,,,
3,3666,2380,
,,,
4,3825,2601,
,,,
1,3825,2601,
,,,
2,3666,2380,
,,,
3,3668,2380,
,,,
4,3825,2601,
,,,
1,3826,2601,
,,,
2,3809,2577,
,,,
3,3825,2601,
,,,
4,3826,2601,
,,,
1,3809,2577,
,,,
2,3825,2601,
,,,
3,3668,2380,
,,,
4,3809,2577,
,,,
1,3782,2601,
,,,
2,3790,2601,
,,,
3,3626,2384,
,,,
4,3782,2601,
,,,
1,3790,2601,
,,,
2,3626,2384,
,,,
3,3666,2380,
,,,
4,3790,2601,
,,,
1,3790,2601,
,,,
2,3666,2380,
,,,
3,3825,2601,
,,,
4,3790,2601,
,,,
1,3652,2601,
,,,
2,3647,2594,
,,,
1,3652,2601,
,,,
2,3647,2594,
,,,
3,3652,2601,
,,,
1,3652,2601,
,,,
2,3682,2601,
,,,
3,3505,2396,
,,,
4,3652,2601,
,,,
1,3682,2601,
,,,
2,3505,2396,
,,,
3,3626,2384,
,,,
4,3682,2601,
,,,
1,3682,2601,
,,,
2,3626,2384,
,,,
3,3782,2601,
,,,
4,3682,2601,
,,,
1,3647,2594,
,,,
2,3505,2396,
,,,
3,3644,2594,
,,,
4,3647,2594,
,,,
1,3505,2396,
,,,
2,3644,2594,
,,,
3,3503,2397,
,,,
4,3505,2396,
,,,
1,3644,2594,
,,,
2,3503,2397,
,,,
3,3619,2597,
,,,
4,3644,2594,
,,,
1,3503,2397,
,,,
2,3619,2597,
,,,
3,3478,2399,
,,,
4,3503,2397,
,,,
1,3619,2597,
,,,
2,3478,2399,
,,,
3,3605,2584,
,,,
4,3619,2597,
,,,
1,3478,2399,
,,,
2,3605,2584,
,,,
3,3472,2400,
,,,
4,3478,2399,
,,,
1,3605,2584,
,,,
2,3472,2400,
,,,
3,3563,2589,
,,,
4,3605,2584,
,,,
1,3472,2400,
,,,
2,3563,2589,
,,,
3,3431,2404,
,,,
4,3472,2400,
,,,
1,3563,2589,
,,,
2,3431,2404,
,,,
3,3554,2590,
,,,
4,3563,2589,
,,,
1,3431,2404,
,,,
2,3554,2590,
,,,
3,3421,2405,
,,,
4,3431,2404,
,,,
1,3554,2590,
,,,
2,3421,2405,
,,,
3,3545,2593,
,,,
4,3554,2590,
,,,
1,3421,2405,
,,,
2,3545,2593,
,,,
3,3411,2406,
,,,
4,3421,2405,
,,,
1,3545,2593,
,,,
2,3411,2406,
,,,
3,3536,2597,
,,,
4,3545,2593,
,,,
1,3411,2406,
,,,
2,3536,2597,
,,,
3,3401,2407,
,,,
4,3411,2406,
,,,
1,3528,2601,
,,,
2,3390,2408,
,,,
3,3401,2407,
,,,
4,3528,2601,
,,,
1,3529,2601,
,,,
2,3536,2597,
,,,
3,3528,2601,
,,,
4,3529,2601,
,,,
1,3536,2597,
,,,
2,3528,2601,
,,,
3,3401,2407,
,,,
4,3536,2597,
,,,
1,3517,2601,
,,,
2,3517,2601,
,,,
3,3379,2409,
,,,
4,3517,2601,
,,,
1,3517,2601,
,,,
2,3379,2409,
,,,
3,3390,2408,
,,,
4,3517,2601,
,,,
1,3517,2601,
,,,
2,3390,2408,
,,,
3,3528,2601,
,,,
4,3517,2601,
,,,
1,3505,2601,
,,,
2,3506,2601,
,,,
3,3369,2410,
,,,
4,3505,2601,
,,,
1,3506,2601,
,,,
2,3369,2410,
,,,
3,3379,2409,
,,,
4,3506,2601,
,,,
1,3506,2601,
,,,
2,3379,2409,
,,,
3,3517,2601,
,,,
4,3506,2601,
,,,
1,3495,2601,
,,,
2,3496,2601,
,,,
3,3359,2411,
,,,
4,3495,2601,
,,,
1,3496,2601,
,,,
2,3359,2411,
,,,
3,3369,2410,
,,,
4,3496,2601,
,,,
1,3496,2601,
,,,
2,3369,2410,
,,,
3,3505,2601,
,,,
4,3496,2601,
,,,
1,3485,2601,
,,,
2,3486,2601,
,,,
3,3349,2412,
,,,
4,3485,2601,
,,,
1,3486,2601,
,,,
2,3349,2412,
,,,
3,3359,2411,
,,,
4,3486,2601,
,,,
1,3486,2601,
,,,
2,3359,2411,
,,,
3,3495,2601,
,,,
4,3486,2601,
,,,
1,3475,2601,
,,,
2,3477,2601,
,,,
3,3341,2413,
,,,
4,3475,2601,
,,,
1,3477,2601,
,,,
2,3341,2413,
,,,
3,3349,2412,
,,,
4,3477,2601,
,,,
1,3477,2601,
,,,
2,3349,2412,
,,,
3,3485,2601,
,,,
4,3477,2601,
,,,
1,3467,2601,
,,,
2,3469,2601,
,,,
3,3333,2414,
,,,
4,3467,2601,
,,,
1,3469,2601,
,,,
2,3333,2414,
,,,
3,3341,2413,
,,,
4,3469,2601,
,,,
1,3469,2601,
,,,
2,3341,2413,
,,,
3,3475,2601,
,,,
4,3469,2601,
,,,
1,3460,2601,
,,,
2,3461,2601,
,,,
3,3326,2415,
,,,
4,3460,2601,
,,,
1,3461,2601,
,,,
2,3326,2415,
,,,
3,3333,2414,
,,,
4,3461,2601,
,,,
1,3461,2601,
,,,
2,3333,2414,
,,,
3,3467,2601,
,,,
4,3461,2601,
,,,
1,3408,2601,
,,,
2,3429,2601,
,,,
3,3278,2420,
,,,
4,3408,2601,
,,,
1,3429,2601,
,,,
2,3278,2420,
,,,
3,3326,2415,
,,,
4,3429,2601,
,,,
1,3429,2601,
,,,
2,3326,2415,
,,,
3,3460,2601,
,,,
4,3429,2601,
,,,
1,3408,2601,
,,,
2,3278,2420,
,,,
1,3408,2601,
,,,
2,3278,2420,
,,,
1,3408,2601,
,,,
2,3278,2420,
,,,
3,3408,2601,
,,,
1,3278,2420,
,,,
2,3278,2420,
,,,
3,3408,2601,
,,,
4,3278,2420,
,,,
1,3398,2601,
,,,
2,3402,2601,
,,,
3,3269,2421,
,,,
4,3398,2601,
,,,
1,3402,2601,
,,,
2,3269,2421,
,,,
3,3278,2420,
,,,
4,3402,2601,
,,,
1,3402,2601,
,,,
2,3278,2420,
,,,
3,3408,2601,
,,,
4,3402,2601,
,,,
1,3397,2601,
,,,
2,3398,2601,
,,,
3,3268,2421,
,,,
4,3397,2601,
,,,
1,3398,2601,
,,,
2,3268,2421,
,,,
3,3269,2421,
,,,
4,3398,2601,
,,,
1,3398,2601,
,,,
2,3269,2421,
,,,
3,3398,2601,
,,,
4,3398,2601,
,,,
1,3395,2601,
,,,
2,3395,2601,
,,,
3,3266,2421,
,,,
4,3395,2601,
,,,
1,3395,2601,
,,,
2,3266,2421,
,,,
3,3268,2421,
,,,
4,3395,2601,
,,,
1,3395,2601,
,,,
2,3268,2421,
,,,
3,3397,2601,
,,,
4,3395,2601,
,,,
1,3391,2601,
,,,
2,3392,2601,
,,,
3,3263,2422,
,,,
4,3391,2601,
,,,
1,3392,2601,
,,,
2,3263,2422,
,,,
3,3266,2421,
,,,
4,3392,2601,
,,,
1,3392,2601,
,,,
2,3266,2421,
,,,
3,3395,2601,
,,,
4,3392,2601,
,,,
1,3386,2601,
,,,
2,3387,2601,
,,,
3,3258,2422,
,,,
4,3386,2601,
,,,
1,3387,2601,
,,,
2,3258,2422,
,,,
3,3263,2422,
,,,
4,3387,2601,
,,,
1,3387,2601,
,,,
2,3263,2422,
,,,
3,3391,2601,
,,,
4,3387,2601,
,,,
1,3380,2601,
,,,
2,3380,2601,
,,,
3,3252,2423,
,,,
4,3380,2601,
,,,
1,3380,2601,
,,,
2,3252,2423,
,,,
3,3258,2422,
,,,
4,3380,2601,
,,,
1,3380,2601,
,,,
2,3258,2422,
,,,
3,3386,2601,
,,,
4,3380,2601,
,,,
1,3373,2601,
,,,
2,3373,2601,
,,,
3,3245,2423,
,,,
4,3373,2601,
,,,
1,3373,2601,
,,,
2,3245,2423,
,,,
3,3252,2423,
,,,
4,3373,2601,
,,,
1,3373,2601,
,,,
2,3252,2423,
,,,
3,3380,2601,
,,,
4,3373,2601,
,,,
1,3364,2601,
,,,
2,3365,2601,
,,,
3,3237,2424,
,,,
4,3364,2601,
,,,
1,3365,2601,
,,,
2,3237,2424,
,,,
3,3245,2423,
,,,
4,3365,2601,
,,,
1,3365,2601,
,,,
2,3245,2423,
,,,
3,3373,2601,
,,,
4,3365,2601,
,,,
1,3355,2601,
,,,
2,3355,2601,
,,,
3,3229,2425,
,,,
4,3355,2601,
,,,
1,3355,2601,
,,,
2,3229,2425,
,,,
3,3237,2424,
,,,
4,3355,2601,
,,,
1,3355,2601,
,,,
2,3237,2424,
,,,
3,3364,2601,
,,,
4,3355,2601,
,,,
1,3100,2601,
,,,
2,3084,2440,
,,,
3,3199,2601,
,,,
4,3100,2601,
,,,
1,3199,2601,
,,,
2,3217,2601,
,,,
3,3084,2440,
,,,
4,3199,2601,
,,,
1,3217,2601,
,,,
2,3084,2440,
,,,
3,3229,2425,
,,,
4,3217,2601,
,,,
1,3217,2601,
,,,
2,3229,2425,
,,,
3,3355,2601,
,,,
4,3217,2601,
,,,
1,3823,2373,
,,,
2,3819,2380,
,,,
3,3810,2367,
,,,
4,3823,2373,
,,,
1,3819,2380,
,,,
2,3810,2367,
,,,
3,3800,2372,
,,,
4,3819,2380,
,,,
1,3810,2367,
,,,
2,3800,2372,
,,,
3,3791,2358,
,,,
4,3810,2367,
,,,
1,3800,2372,
,,,
2,3791,2358,
,,,
3,3789,2367,
,,,
4,3800,2372,
,,,
1,3791,2358,
,,,
2,3789,2367,
,,,
3,3784,2359,
,,,
4,3791,2358,
,,,
1,3784,2359,
,,,
2,3083,2432,
,,,
3,3089,2440,
,,,
4,3784,2359,
,,,
1,3083,2432,
,,,
2,3089,2440,
,,,
3,3084,2440,
,,,
4,3083,2432,
,,,
1,3784,2359,
,,,
2,3789,2367,
,,,
3,3089,2440,
,,,
4,3784,2359,
,,,
1,3871,2350,
,,,
2,3869,2355,
,,,
3,3865,2351,
,,,
4,3871,2350,
,,,
1,3869,2355,
,,,
2,3865,2351,
,,,
3,3867,2359,
,,,
4,3869,2355,
,,,
1,3865,2351,
,,,
2,3867,2359,
,,,
3,3862,2351,
,,,
4,3865,2351,
,,,
1,3867,2359,
,,,
2,3862,2351,
,,,
3,3866,2361,
,,,
4,3867,2359,
,,,
1,3862,2351,
,,,
2,3866,2361,
,,,
3,3860,2351,
,,,
4,3862,2351,
,,,
1,3866,2361,
,,,
2,3860,2351,
,,,
3,3846,2406,
,,,
4,3866,2361,
,,,
1,3860,2351,
,,,
2,3846,2406,
,,,
3,3811,2356,
,,,
4,3860,2351,
,,,
1,3803,2357,
,,,
2,3810,2367,
,,,
3,3791,2358,
,,,
4,3803,2357,
,,,
1,3846,2406,
,,,
2,3823,2373,
,,,
3,3843,2413,
,,,
4,3846,2406,
,,,
1,3823,2373,
,,,
2,3843,2413,
,,,
3,3819,2380,
,,,
4,3823,2373,
,,,
1,3823,2373,
,,,
2,3811,2356,
,,,
3,3810,2367,
,,,
4,3823,2373,
,,,
1,3811,2356,
,,,
2,3810,2367,
,,,
3,3803,2357,
,,,
4,3811,2356,
,,,
1,3819,2380,
,,,
2,3813,2394,
,,,
3,3837,2427,
,,,
4,3819,2380,
,,,
1,3813,2394,
,,,
2,3837,2427,
,,,
3,3796,2431,
,,,
4,3813,2394,
,,,
1,3819,2380,
,,,
2,3843,2413,
,,,
3,3837,2427,
,,,
4,3819,2380,
,,,
1,1942,2204,
,,,
2,1909,2221,
,,,
3,1908,2219,
,,,
4,1942,2204,
,,,
1,1909,2221,
,,,
2,1908,2219,
,,,
3,1909,2222,
,,,
4,1909,2221,
,,,
1,1908,2219,
,,,
2,1909,2222,
,,,
3,1907,2219,
,,,
4,1908,2219,
,,,
1,1909,2222,
,,,
2,1907,2219,
,,,
3,1877,2239,
,,,
4,1909,2222,
,,,
1,1907,2219,
,,,
2,1877,2239,
,,,
3,1875,2235,
,,,
4,1907,2219,
,,,
1,1877,2239,
,,,
2,1875,2235,
,,,
3,1876,2240,
,,,
4,1877,2239,
,,,
1,1875,2235,
,,,
2,1876,2240,
,,,
3,1873,2235,
,,,
4,1875,2235,
,,,
1,1876,2240,
,,,
2,1873,2235,
,,,
3,1846,2257,
,,,
4,1876,2240,
,,,
1,1873,2235,
,,,
2,1846,2257,
,,,
3,1842,2252,
,,,
4,1873,2235,
,,,
1,1846,2257,
,,,
2,1842,2252,
,,,
3,1844,2258,
,,,
4,1846,2257,
,,,
1,1842,2252,
,,,
2,1844,2258,
,,,
3,1840,2253,
,,,
4,1842,2252,
,,,
1,1844,2258,
,,,
2,1840,2253,
,,,
3,1814,2277,
,,,
4,1844,2258,
,,,
1,1840,2253,
,,,
2,1814,2277,
,,,
3,1809,2270,
,,,
4,1840,2253,
,,,
1,1814,2277,
,,,
2,1809,2270,
,,,
3,1812,2278,
,,,
4,1814,2277,
,,,
1,1809,2270,
,,,
2,1812,2278,
,,,
3,1807,2271,
,,,
4,1809,2270,
,,,
1,1812,2278,
,,,
2,1807,2271,
,,,
3,1784,2297,
,,,
4,1812,2278,
,,,
1,1807,2271,
,,,
2,1784,2297,
,,,
3,1778,2288,
,,,
4,1807,2271,
,,,
1,1784,2297,
,,,
2,1778,2288,
,,,
3,1784,2297,
,,,
4,1784,2297,
,,,
1,1778,2288,
,,,
2,1784,2297,
,,,
3,1778,2288,
,,,
4,1778,2288,
,,,
1,1784,2297,
,,,
2,1778,2288,
,,,
3,1781,2299,
,,,
4,1784,2297,
,,,
1,1778,2288,
,,,
2,1781,2299,
,,,
3,1775,2290,
,,,
4,1778,2288,
,,,
1,1781,2299,
,,,
2,1775,2290,
,,,
3,1774,2304,
,,,
4,1781,2299,
,,,
1,1775,2290,
,,,
2,1774,2304,
,,,
3,1767,2295,
,,,
4,1775,2290,
,,,
1,1774,2304,
,,,
2,1767,2295,
,,,
3,1763,2311,
,,,
4,1774,2304,
,,,
1,1767,2295,
,,,
2,1763,2311,
,,,
3,1757,2303,
,,,
4,1767,2295,
,,,
1,1763,2311,
,,,
2,1757,2303,
,,,
3,1753,2318,
,,,
4,1763,2311,
,,,
1,1757,2303,
,,,
2,1753,2318,
,,,
3,1746,2309,
,,,
4,1757,2303,
,,,
1,1753,2318,
,,,
2,1746,2309,
,,,
3,1752,2319,
,,,
4,1753,2318,
,,,
1,1746,2309,
,,,
2,1752,2319,
,,,
3,1746,2310,
,,,
4,1746,2309,
,,,
1,1746,2310,
,,,
2,1746,2310,
,,,
3,1752,2319,
,,,
4,1746,2310,
,,,
1,1746,2310,
,,,
2,1752,2319,
,,,
3,1751,2320,
,,,
4,1746,2310,
,,,
1,1746,2310,
,,,
2,1752,2319,
,,,
3,1752,2319,
,,,
4,1746,2310,
,,,
1,2290,2200,
,,,
2,2278,2203,
,,,
3,2277,2203,
,,,
4,2290,2200,
,,,
1,2278,2203,
,,,
2,2277,2203,
,,,
3,2265,2207,
,,,
4,2278,2203,
,,,
1,2277,2203,
,,,
2,2265,2207,
,,,
3,2263,2205,
,,,
4,2277,2203,
,,,
1,2265,2207,
,,,
2,2263,2205,
,,,
3,2252,2210,
,,,
4,2265,2207,
,,,
1,2263,2205,
,,,
2,2252,2210,
,,,
3,2249,2207,
,,,
4,2263,2205,
,,,
1,2252,2210,
,,,
2,2249,2207,
,,,
3,2242,2213,
,,,
4,2252,2210,
,,,
1,2249,2207,
,,,
2,2242,2213,
,,,
3,2240,2209,
,,,
4,2249,2207,
,,,
1,2242,2213,
,,,
2,2240,2209,
,,,
3,2238,2214,
,,,
4,2242,2213,
,,,
1,2240,2209,
,,,
2,2238,2214,
,,,
3,2236,2209,
,,,
4,2240,2209,
,,,
1,2238,2214,
,,,
2,2236,2209,
,,,
3,2226,2217,
,,,
4,2238,2214,
,,,
1,2236,2209,
,,,
2,2226,2217,
,,,
3,2222,2212,
,,,
4,2236,2209,
,,,
1,2226,2217,
,,,
2,2222,2212,
,,,
3,2218,2219,
,,,
4,2226,2217,
,,,
1,2222,2212,
,,,
2,2218,2219,
,,,
3,2213,2213,
,,,
4,2222,2212,
,,,
1,2218,2219,
,,,
2,2213,2213,
,,,
3,2213,2221,
,,,
4,2218,2219,
,,,
1,2213,2213,
,,,
2,2213,2221,
,,,
3,2208,2214,
,,,
4,2213,2213,
,,,
1,2213,2221,
,,,
2,2208,2214,
,,,
3,2200,2224,
,,,
4,2213,2221,
,,,
1,2208,2214,
,,,
2,2200,2224,
,,,
3,2194,2217,
,,,
4,2208,2214,
,,,
1,2200,2224,
,,,
2,2194,2217,
,,,
3,2193,2227,
,,,
4,2200,2224,
,,,
1,2194,2217,
,,,
2,2193,2227,
,,,
3,2187,2218,
,,,
4,2194,2217,
,,,
1,2193,2227,
,,,
2,2187,2218,
,,,
3,2187,2228,
,,,
4,2193,2227,
,,,
1,2187,2218,
,,,
2,2187,2228,
,,,
3,2181,2219,
,,,
4,2187,2218,
,,,
1,2187,2228,
,,,
2,2181,2219,
,,,
3,2174,2232,
,,,
4,2187,2228,
,,,
1,2181,2219,
,,,
2,2174,2232,
,,,
3,2167,2223,
,,,
4,2181,2219,
,,,
1,2174,2232,
,,,
2,2167,2223,
,,,
3,2168,2234,
,,,
4,2174,2232,
,,,
1,2167,2223,
,,,
2,2168,2234,
,,,
3,2161,2224,
,,,
4,2167,2223,
,,,
1,2168,2234,
,,,
2,2161,2224,
,,,
3,2161,2236,
,,,
4,2168,2234,
,,,
1,2161,2224,
,,,
2,2161,2236,
,,,
3,2154,2226,
,,,
4,2161,2224,
,,,
1,2161,2236,
,,,
2,2154,2226,
,,,
3,2148,2241,
,,,
4,2161,2236,
,,,
1,2154,2226,
,,,
2,2148,2241,
,,,
3,2141,2231,
,,,
4,2154,2226,
,,,
1,2148,2241,
,,,
2,2141,2231,
,,,
3,2135,2245,
,,,
4,2148,2241,
,,,
1,2141,2231,
,,,
2,2135,2245,
,,,
3,2128,2235,
,,,
4,2141,2231,
,,,
1,2135,2245,
,,,
2,2128,2235,
,,,
3,2131,2246,
,,,
4,2135,2245,
,,,
1,2128,2235,
,,,
2,2131,2246,
,,,
3,2124,2236,
,,,
4,2128,2235,
,,,
1,2131,2246,
,,,
2,2124,2236,
,,,
3,2123,2250,
,,,
4,2131,2246,
,,,
1,2124,2236,
,,,
2,2123,2250,
,,,
3,2116,2240,
,,,
4,2124,2236,
,,,
1,2123,2250,
,,,
2,2116,2240,
,,,
3,2110,2254,
,,,
4,2123,2250,
,,,
1,2116,2240,
,,,
2,2110,2254,
,,,
3,2103,2245,
,,,
4,2116,2240,
,,,
1,2110,2254,
,,,
2,2103,2245,
,,,
3,2109,2254,
,,,
4,2110,2254,
,,,
1,2103,2245,
,,,
2,2109,2254,
,,,
3,2102,2245,
,,,
4,2103,2245,
,,,
1,2109,2254,
,,,
2,2102,2245,
,,,
3,2095,2259,
,,,
4,2109,2254,
,,,
1,2102,2245,
,,,
2,2095,2259,
,,,
3,2088,2250,
,,,
4,2102,2245,
,,,
1,2058,2272,
,,,
2,2053,2265,
,,,
1,2053,2265,
,,,
2,2058,2272,
,,,
1,2095,2259,
,,,
2,2088,2250,
,,,
3,2058,2272,
,,,
4,2095,2259,
,,,
1,2088,2250,
,,,
2,2058,2272,
,,,
3,2053,2265,
,,,
4,2088,2250,
,,,
1,2058,2272,
,,,
2,2053,2265,
,,,
3,2058,2272,
,,,
1,2053,2265,
,,,
2,2058,2272,
,,,
3,2053,2265,
,,,
1,2058,2272,
,,,
2,2053,2265,
,,,
3,2021,2286,
,,,
4,2058,2272,
,,,
1,2053,2265,
,,,
2,2021,2286,
,,,
3,2018,2281,
,,,
4,2053,2265,
,,,
1,2021,2286,
,,,
2,2018,2281,
,,,
3,2000,2293,
,,,
4,2021,2286,
,,,
1,2018,2281,
,,,
2,2000,2293,
,,,
3,1998,2290,
,,,
4,2018,2281,
,,,
1,1999,2292,
,,,
2,1998,2290,
,,,
3,1999,2292,
,,,
4,1999,2292,
,,,
1,1998,2290,
,,,
2,1999,2292,
,,,
3,1998,2291,
,,,
4,1998,2290,
,,,
1,2000,2293,
,,,
2,1999,2292,
,,,
3,2000,2293,
,,,
4,2000,2293,
,,,
1,1999,2292,
,,,
2,2000,2293,
,,,
3,1999,2292,
,,,
4,1999,2292,
,,,
1,1999,2292,
,,,
2,1999,2292,
,,,
3,1998,2291,
,,,
4,1999,2292,
,,,
1,1999,2292,
,,,
2,1998,2291,
,,,
3,1999,2292,
,,,
4,1999,2292,
,,,
1,2000,2293,
,,,
2,1998,2291,
,,,
3,1988,2298,
,,,
4,2000,2293,
,,,
1,1998,2291,
,,,
2,1988,2298,
,,,
3,1987,2296,
,,,
4,1998,2291,
,,,
1,1988,2298,
,,,
2,1987,2296,
,,,
3,1985,2299,
,,,
4,1988,2298,
,,,
1,1987,2296,
,,,
2,1985,2299,
,,,
3,1983,2298,
,,,
4,1987,2296,
,,,
1,1985,2299,
,,,
2,1983,2298,
,,,
3,1976,2304,
,,,
4,1985,2299,
,,,
1,1983,2298,
,,,
2,1976,2304,
,,,
3,1975,2302,
,,,
4,1983,2298,
,,,
1,1976,2304,
,,,
2,1975,2302,
,,,
3,1964,2309,
,,,
4,1976,2304,
,,,
1,1975,2302,
,,,
2,1964,2309,
,,,
3,1963,2308,
,,,
4,1975,2302,
,,,
1,1964,2309,
,,,
2,1963,2308,
,,,
3,1953,2315,
,,,
4,1964,2309,
,,,
1,1963,2308,
,,,
2,1953,2315,
,,,
3,1952,2314,
,,,
4,1963,2308,
,,,
1,1953,2315,
,,,
2,1952,2314,
,,,
3,1950,2317,
,,,
4,1953,2315,
,,,
1,1952,2314,
,,,
2,1950,2317,
,,,
3,1949,2315,
,,,
4,1952,2314,
,,,
1,1950,2317,
,,,
2,1949,2315,
,,,
3,1941,2322,
,,,
4,1950,2317,
,,,
1,1949,2315,
,,,
2,1941,2322,
,,,
3,1941,2321,
,,,
4,1949,2315,
,,,
1,1941,2322,
,,,
2,1941,2321,
,,,
3,1936,2324,
,,,
4,1941,2322,
,,,
1,1941,2321,
,,,
2,1936,2324,
,,,
3,1935,2323,
,,,
4,1941,2321,
,,,
1,1936,2324,
,,,
2,1935,2323,
,,,
3,1930,2328,
,,,
4,1936,2324,
,,,
1,1935,2323,
,,,
2,1930,2328,
,,,
3,1929,2327,
,,,
4,1935,2323,
,,,
1,1930,2328,
,,,
2,1929,2327,
,,,
3,1918,2334,
,,,
4,1930,2328,
,,,
1,1929,2327,
,,,
2,1918,2334,
,,,
3,1918,2333,
,,,
4,1929,2327,
,,,
1,1918,2334,
,,,
2,1918,2333,
,,,
3,1917,2335,
,,,
4,1918,2334,
,,,
1,1918,2333,
,,,
2,1917,2335,
,,,
3,1916,2334,
,,,
4,1918,2333,
,,,
1,1917,2335,
,,,
2,1916,2334,
,,,
3,1907,2341,
,,,
4,1917,2335,
,,,
1,1916,2334,
,,,
2,1907,2341,
,,,
3,1907,2340,
,,,
4,1916,2334,
,,,
1,1907,2341,
,,,
2,1907,2340,
,,,
3,1895,2347,
,,,
4,1907,2341,
,,,
1,1907,2340,
,,,
2,1895,2347,
,,,
3,1895,2347,
,,,
4,1907,2340,
,,,
1,1895,2347,
,,,
2,1895,2347,
,,,
3,1884,2354,
,,,
4,1895,2347,
,,,
1,1895,2347,
,,,
2,1884,2354,
,,,
3,1884,2354,
,,,
4,1895,2347,
,,,
1,1884,2354,
,,,
2,1884,2354,
,,,
3,1884,2355,
,,,
4,1884,2354,
,,,
1,1884,2354,
,,,
2,1884,2355,
,,,
3,1883,2354,
,,,
4,1884,2354,
,,,
1,1884,2355,
,,,
2,1883,2354,
,,,
3,1873,2361,
,,,
4,1884,2355,
,,,
1,1883,2354,
,,,
2,1873,2361,
,,,
3,1873,2360,
,,,
4,1883,2354,
,,,
1,1873,2361,
,,,
2,1873,2360,
,,,
3,1862,2368,
,,,
4,1873,2361,
,,,
1,1873,2360,
,,,
2,1862,2368,
,,,
3,1862,2368,
,,,
4,1873,2360,
,,,
1,1862,2368,
,,,
2,1851,2375,
,,,
1,1862,2368,
,,,
2,1862,2368,
,,,
3,1851,2375,
,,,
4,1862,2368,
,,,
1,1862,2368,
,,,
2,1851,2375,
,,,
3,1862,2368,
,,,
1,1851,2375,
,,,
2,1851,2375,
,,,
1,2443,2173,
,,,
2,2426,2176,
,,,
3,2424,2173,
,,,
4,2443,2173,
,,,
1,2426,2176,
,,,
2,2424,2173,
,,,
3,2412,2178,
,,,
4,2426,2176,
,,,
1,2424,2173,
,,,
2,2412,2178,
,,,
3,2409,2173,
,,,
4,2424,2173,
,,,
1,2412,2178,
,,,
2,2409,2173,
,,,
3,2399,2180,
,,,
4,2412,2178,
,,,
1,2409,2173,
,,,
2,2399,2180,
,,,
3,2394,2173,
,,,
4,2409,2173,
,,,
1,2399,2180,
,,,
2,2394,2173,
,,,
3,2385,2182,
,,,
4,2399,2180,
,,,
1,2394,2173,
,,,
2,2385,2182,
,,,
3,2379,2173,
,,,
4,2394,2173,
,,,
1,2385,2182,
,,,
2,2379,2173,
,,,
3,2379,2183,
,,,
4,2385,2182,
,,,
1,2379,2173,
,,,
2,2379,2183,
,,,
3,2372,2173,
,,,
4,2379,2173,
,,,
1,2379,2183,
,,,
2,2372,2173,
,,,
3,2372,2184,
,,,
4,2379,2183,
,,,
1,2372,2173,
,,,
2,2372,2184,
,,,
3,2365,2174,
,,,
4,2372,2173,
,,,
1,2372,2184,
,,,
2,2365,2174,
,,,
3,2358,2186,
,,,
4,2372,2184,
,,,
1,2365,2174,
,,,
2,2358,2186,
,,,
3,2351,2176,
,,,
4,2365,2174,
,,,
1,2358,2186,
,,,
2,2351,2176,
,,,
3,2345,2189,
,,,
4,2358,2186,
,,,
1,2351,2176,
,,,
2,2345,2189,
,,,
3,2338,2179,
,,,
4,2351,2176,
,,,
1,2345,2189,
,,,
2,2338,2179,
,,,
3,2345,2189,
,,,
4,2345,2189,
,,,
1,2338,2179,
,,,
2,2345,2189,
,,,
3,2337,2179,
,,,
4,2338,2179,
