1507,579,1595,551,,1502,546,1596,520,,1502,610,1597,579
,,,,,,,,,,,,,
1755,579,1856,548,,1758,546,1852,520,,1758,611,1857,575
,,,,,,,,,,,,,
2009,579,2110,549,,2012,547,2108,520,,1981,612,2064,572
,,,,,,,,,,,,,
2261,580,2371,547,,2267,547,2362,521,,2274,610,2357,579
,,,,,,,,,,,,,
2517,579,2621,550,,2522,547,2616,521,,2490,610,2648,579
,,,,,,,,,,,,,
939,1059,1142,1024,,993,1025,1089,984,,974,1091,1108,1051
,,,,,,,,,,,,,
684,1421,887,1386,,738,1387,834,1347,,717,1453,855,1412
,,,,,,,,,,,,,
2777,1429,2871,1401,,2777,1398,2873,1371,,2784,1460,2866,1429
,,,,,,,,,,,,,
3043,1429,3118,1401,,3031,1398,3127,1371,,3038,1460,3122,1428
,,,,,,,,,,,,,
3294,1430,3377,1394,,3287,1397,3381,1371,,3293,1460,3377,1428
,,,,,,,,,,,,,
3496,1429,3681,1401,,3541,1398,3637,1371,,3540,1460,3637,1430
